Location,Capacity_x,1-Dec-19,2-Dec-19,3-Dec-19,4-Dec-19,5-Dec-19,6-Dec-19,7-Dec-19,8-Dec-19,9-Dec-19,10-Dec-19,11-Dec-19,12-Dec-19,13-Dec-19,14-Dec-19,15-Dec-19,16-Dec-19,17-Dec-19,Capacity_y,18-Dec-19,19-Dec-19,20-Dec-19,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19,29-Dec-19,30-Dec-19,31-Dec-19,Avg Population
Mississippi State Penitentiary,"3,560","3,239","3,240","3,257","3,252","3,236","3,231","3,329","3,229","3,230","3,242","3,246","3,262","3,270","3,271","3,271","3,274","3,272","3,560","3,259","3,255","3,256","3,254","3,255","3,260","3,258","3,258","3,253","3,248","3,248","3,247","3,259","3,245","3,255"
Central Mississippi Correctional Facility,"4,094","3,678","3,686","3,668","3,652","3,659","3,686","3,688","3,685","3,708","3,721","3,708","3,746","3,758","3,757","3,755","3,759","3,765","4,094","3,794","3,825","3,874","3,872","3,871","3,819","3,818","3,819","3,837","3,838","3,839","3,836","3,842","3,864",3765
Youthful Offender Unit,58,24,24,24,24,25,24,24,24,23,23,23,23,22,22,22,22,22,58,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,649","2,650","2,639","2,661","2,659","2,658","2,658","2,659","2,659","2,657","2,656","2,649","2,645","2,645","2,647","2,651","2,652","3,082","2,661","2,661","2,652","2,653","2,653","2,652","2,653","2,653","2,682","2,643","2,643","2,640","2,620","2,624",2652
County Jails,"1,793","1,274","1,280","1,294","1,278","1,274","1,285","1,285","1,285","1,268","1,244","1,252","1,224","1,214","1,214","1,214","1,170","1,193","1,793","1,174","1,176","1,175","1,175","1,175","1,195","1,193","1,196","1,197","1,188","1,188","1,188","1,163","1,133",1221
COMMUNITY WORK CENTERS,"1,372",793,782,775,785,785,784,783,781,772,771,791,788,788,798,795,810,816,"1,372",817,800,798,795,790,801,794,794,792,791,790,786,827,,792
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,70,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,68,124,66,65,64,64,64,64,64,64,67,67,67,67,67,67,67
Delta TVC,324,146,142,135,136,135,135,135,135,128,129,149,147,147,158,155,168,168,324,176,164,160,159,157,157,150,150,149,148,147,146,173,171,149
Forrest Satellite Facility,96,56,55,56,56,57,57,57,57,57,57,56,55,55,55,55,55,55,96,54,54,54,54,54,54,54,54,54,54,54,54,54,53,55
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,102,37,37,37,37,37,37,37,37,36,36,36,36,36,36,37
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,73,72,72,71,71,71,71,71,71,72,69,73,73,73,73,74,73,62,73,72,71,71,71,71,71,71,71,71,71,71,80,80,72
Noxubee Satellite Facility,58,49,48,47,47,47,47,47,47,47,46,50,46,46,46,46,46,46,58,46,45,45,45,45,45,45,45,45,45,45,45,45,45,46
Pike Satellite Facility,93,66,66,66,66,66,66,66,66,65,65,66,66,65,65,65,65,64,93,63,63,63,63,63,74,74,74,74,74,74,74,75,75,67
Quitman Satellite Facility,93,67,67,67,67,67,67,67,67,67,66,65,65,65,64,64,64,64,93,64,64,64,64,64,63,63,63,63,63,63,63,61,68,65
Rankin Satellite Facility,178,132,132,132,142,142,142,142,142,143,144,145,144,144,144,144,145,147,178,147,147,147,148,146,147,147,147,144,144,144,144,144,142,143
Rankin RID,28,17,16,17,21,21,21,20,20,20,20,20,19,21,21,21,21,21,28,21,21,21,22,22,22,22,22,22,22,22,21,21,21,21
Flowood TVC,50,29,29,28,25,25,24,24,22,20,18,18,16,16,16,16,16,22,50,21,18,22,18,17,17,17,17,17,17,17,15,21,20,20
Simpson TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
