Location,Capacity_x,1-Nov-17,Unnamed: 3,2-Nov-17,3-Nov-17,4-Nov-17,5-Nov-17,6-Nov-17,7-Nov-17,8-Nov-17,9-Nov-17,10-Nov-17,11-Nov-17,12-Nov-17,13-Nov-17,14-Nov-17,15-Nov-17,16-Nov-17,17-Nov-17,Capacity_y,18-Nov-17,19-Nov-17,20-Nov-17,21-Nov-17,22-Nov-17,23-Nov-17,24-Nov-17,25-Nov-17,26-Nov-17,27-Nov-17,28-Nov-17,29-Nov-17,30-Nov-17,Avg Population
Mississippi State Penitentiary,"3,590","3,344","3,345","3,351","3,351","3,352","3,348","3,350","3,344","3,349","3,344","3,344","3,343","3,345","3,346","3,338","3,332","3,353",,"3,590","3,352","3,352","3,353","3,355","3,351","3,351","3,349","3,348","3,347","3,340","3,350","3,348","3,335","3,347"
Central Mississippi Correctional Facility,"3,830","3,644","3,642","3,623","3,622","3,622","3,644","3,597","3,602","3,590","3,583","3,583","3,580","3,606","3,597","3,585","3,605","3,556",,"3,830","3,554","3,552","3,589","3,605","3,601","3,600","3,600","3,601","3,601","3,632","3,636","3,651","3,670",3606
Youthful Offender Unit,58,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,58,27,27,28,29,29,29,29,29,29,29,28,28,28,28
CMCF TVC,0,21,21,21,21,21,21,21,19,20,20,20,20,20,19,19,26,28,,0,28,28,28,20,21,21,21,21,21,17,20,24,17,22
South Mississippi Correctional Institution,"3,082","2,607","2,620","2,616","2,615","2,612","2,618","2,637","2,632","2,623","2,617","2,616","2,616","2,618","2,630","2,650","2,638","2,643",,"3,082","2,643","2,642","2,646","2,643","2,625","2,624","2,624","2,623","2,623","2,619","2,620","2,623","2,625",2626
County Jails,"1,781","1,241","1,227","1,233","1,233","1,233","1,225","1,247","1,247","1,218","1,218","1,218","1,218","1,231","1,215","1,227","1,193","1,215",,"1,781","1,215","1,215","1,199","1,194","1,207","1,207","1,207","1,207","1,207","1,209","1,209","1,194","1,193",1217
COMMUNITY WORK CENTERS,"1,188",857,857,874,874,874,882,881,878,896,885,881,881,879,882,889,889,901,,"1,188",898,894,888,879,880,867,865,864,864,853,851,832,831,874
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,58,58,58,58,58,58,58,58,57,56,56,56,57,57,57,56,56,,96,56,56,54,54,56,56,56,56,56,56,56,58,57,57
George Satellite Facility,102,68,68,67,67,67,68,66,66,67,62,62,62,67,68,68,69,69,,102,69,69,68,68,68,68,68,68,68,68,66,65,66,67
Harrison Satellite Facility,102,57,57,57,57,57,57,56,56,57,55,55,55,57,57,57,58,59,,102,59,59,59,59,58,58,58,58,58,57,57,57,57,57
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,66,66,65,65,65,64,64,55,70,69,69,69,64,66,68,67,76,,82,74,73,72,66,66,59,59,58,58,58,58,54,54,65
Leflore TVC Support,20,15,17,17,17,17,18,18,18,18,17,17,17,18,18,18,18,18,,20,18,18,16,16,16,16,16,15,15,15,15,15,15,17
Madison Satellite Facility,62,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61,,62,61,61,62,61,60,60,60,60,60,59,62,62,62,61
Noxubee Satellite Facility,58,45,45,45,45,45,45,45,45,46,44,44,44,46,46,45,44,44,,58,44,44,44,48,48,48,48,48,48,48,48,47,46,46
Pike Satellite Facility,93,72,71,72,73,73,78,78,78,80,80,80,80,80,80,85,86,86,,93,86,86,86,88,88,88,88,88,88,87,87,87,87,82
Quitman Satellite Facility,93,44,44,45,45,45,45,49,48,48,48,48,48,48,48,47,47,46,,93,46,46,46,45,45,45,45,45,45,45,45,46,47,46
Rankin Satellite Facility,178,155,154,155,155,155,157,156,158,158,159,156,156,157,157,156,155,152,,178,152,152,153,154,155,155,155,155,155,152,149,147,147,154
Rankin RID,28,11,9,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,,28,13,13,13,14,13,13,13,13,13,13,13,13,13,13
Flowood TVC,50,21,20,20,20,20,20,20,19,19,19,19,19,17,17,17,17,17,,50,17,17,16,15,15,15,15,15,15,15,15,14,14,17
Simpson TVC,82,63,62,76,76,76,77,75,72,71,71,71,71,63,63,61,62,73,,82,72,69,69,62,62,56,55,55,55,55,55,45,45,65
Simpson TVC Support,20,12,12,12,12,12,12,12,16,16,16,15,15,16,16,16,16,15,,20,15,15,15,15,15,15,14,15,15,13,14,13,13,14
Washington Satellite Facility,60,55,55,55,55,55,54,54,57,58,58,58,58,58,58,58,58,58,,60,58,58,57,56,57,57,57,57,57,57,56,54,54,57
Wilkinson Satellite Facility,62,57,57,57,56,56,56,57,57,56,56,56,56,56,56,61,61,58,,62,58,58,58,58,58,58,58,58,58,55,55,55,54,57
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","4,216","4,213","4,208","4,207","4,204","4,203","4,234","4,234","4,260","4,252","4,252","4,252","4,251","4,246","4,239","4,263","4,259",,"4,556","4,258","4,257","4,256","4,268","4,267","4,265","4,264","4,264","4,263","4,249","4,245","4,246","4,265",4245
Alcorn County,300,288,287,286,286,286,286,288,288,288,288,288,288,288,288,286,286,286,,300,286,286,286,286,287,287,287,287,287,285,285,285,285,287
Bolivar County,369,288,294,293,293,292,291,291,289,293,292,292,292,292,292,294,293,292,,369,292,292,293,293,293,293,293,293,293,293,291,291,293,292
Carroll County,280,270,270,272,272,272,272,277,277,276,276,276,276,276,275,275,275,274,,280,274,274,274,273,271,271,271,271,270,266,276,275,274,273
Chickasaw County,310,302,301,300,300,300,298,303,302,302,302,302,302,302,301,301,302,302,,310,302,302,301,301,301,301,301,301,301,301,300,300,305,301
George County,342,305,305,305,305,304,303,315,329,333,333,333,333,337,334,328,334,332,,342,332,332,331,338,336,336,336,336,336,336,333,332,332,327
Holmes County,280,254,253,253,253,253,252,251,251,249,249,249,249,248,248,248,250,249,,280,249,249,249,249,249,249,249,249,249,249,249,249,256,250
Issaquena County,274,271,273,273,273,273,273,274,273,273,272,272,272,272,272,274,274,273,,274,273,273,273,273,273,273,273,273,273,273,272,271,274,273
Jefferson County,280,278,277,276,276,276,274,273,270,280,279,279,279,278,279,278,278,278,,280,278,278,278,278,278,278,278,278,278,278,278,276,276,277
Kemper County,355,351,349,350,350,349,349,345,343,347,347,347,347,347,347,346,347,345,,355,345,345,345,345,345,345,345,345,345,345,344,344,344,346
Leake County,280,202,200,200,200,200,200,212,207,207,207,207,207,207,208,206,208,213,,280,213,212,211,221,220,220,219,219,219,219,218,224,223,211
Marion County,280,280,279,278,277,277,278,278,278,280,279,279,279,278,279,278,280,280,,280,280,280,280,277,277,277,277,277,277,276,275,275,276,278
Stone County,326,327,326,326,326,326,325,325,320,325,325,325,325,323,322,320,323,322,,326,321,321,321,320,326,326,326,326,326,325,324,324,324,324
Washington County,300,235,233,232,232,232,232,232,231,231,231,231,231,231,230,230,238,239,,300,239,239,239,238,236,235,235,235,235,232,232,232,235,234
Winston County,280,273,274,272,272,272,271,271,277,277,274,274,274,274,274,279,278,277,,280,277,277,278,279,278,277,277,277,277,276,272,272,272,275
Yazoo County,300,292,292,292,292,292,299,299,299,299,298,298,298,298,297,296,297,297,,300,297,297,297,297,297,297,297,297,297,295,296,296,296,296
PRIVATE PRISONS,"5,972","3,115","3,111","3,106","3,106","3,105","3,101","3,102","3,102","3,113","3,112","3,112","3,112","3,108","3,108","3,118","3,125","3,124",,"5,972","3,122","3,121","3,123","3,135","3,136","3,135","3,135","3,133","3,131","3,129","3,129","3,123","3,127",3119
Delta,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,224","1,222","1,220","1,220","1,219","1,216","1,220","1,219","1,221","1,221","1,221","1,221","1,219","1,217","1,222","1,230","1,230",,"1,500","1,228","1,228","1,233","1,238","1,237","1,236","1,236","1,235","1,234","1,232","1,233","1,229","1,234",1227
Marshall County,"1,000","1,000",998,998,998,998,998,995,998,998,998,998,998,997,996,"1,000","1,000","1,000",,"1,000","1,000",999,998,997,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",999
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",891,891,888,888,888,887,887,885,894,893,893,893,892,895,896,895,894,,"1,000",894,894,892,900,899,899,899,898,897,897,896,894,893,893
RESTITUTION CENTERS,16,10,10,10,9,9,9,9,9,9,8,8,8,9,9,9,9,9,,16,9,9,9,10,10,10,9,9,9,10,10,10,9,9
Greenwood,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,6,4,4,4,5,5,5,4,4,4,5,5,5,5,4
Hinds,6,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3
TRANSITIONAL HOUSING,164,46,46,49,49,49,51,51,47,46,46,45,45,45,46,46,46,46,,164,45,45,45,45,44,45,45,45,45,44,47,46,46,46
Madison,40,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,40,3,3,3,3,3,3,3,3,3,3,5,5,5,4
Noxubee,34,35,35,38,38,38,38,38,34,34,34,34,34,34,34,34,34,34,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35
Rankin/Flowood,8,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,,8,6,6,6,6,5,6,6,6,6,5,6,5,5,6
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,3,3,3,3,3,3,3,3,2,2,1,1,1,2,2,2,2,,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TOTALS,"24,237","19,128","19,119","19,118","19,114","19,108","19,129","19,156","19,141","19,151","19,112","19,106","19,102","19,139","19,125","19,147","19,153","19,161",,"24,237","19,151","19,142","19,164","19,183","19,171","19,154","19,148","19,144","19,140","19,131","19,145","19,125","19,146","19,138"
