Location,Capacity_x,1-Jan-20,2-Jan-20,3-Jan-20,4-Jan-20,5-Jan-20,6-Jan-20,7-Jan-20,8-Jan-20,9-Jan-20,10-Jan-20,11-Jan-20,12-Jan-20,13-Jan-20,14-Jan-20,15-Jan-20,16-Jan-20,17-Jan-20,18-Jan-20,19-Jan-20,Capacity_y,20-Jan-20,21-Jan-20,22-Jan-20,23-Jan-20,24-Jan-20,25-Jan-20,26-Jan-20,27-Jan-20,28-Jan-20,29-Jan-20,30-Jan-20,31-Jan-20,Avg Population
Mississippi State Penitentiary,"3,560","3,243","3,256","3,256","3,264","3,245","3,240","3,238","3,182","3,083","3,006","2,928","2,827","2,822","2,819","2,817","2,816","2,815","2,814","2,814","3,560","2,814","2,807","2,802","2,801","2,790","2,791","2,790","2,781","2,732","2,732","2,731","2,738","2,929"
Central Mississippi Correctional Facility,"4,094","3,864","3,879","3,872","3,871","3,872","3,855","3,846","3,834","3,832","3,831","3,825","3,818","3,797","3,784","3,784","3,773","3,773","3,773","3,769","4,094","3,764","3,762","3,760","3,755","3,763","3,764","3,763","3,590","3,600","3,588","3,544","3,536","3,769"
Youthful Offender Unit,58,24,24,24,25,25,25,23,23,23,23,23,23,23,22,22,22,22,22,22,58,22,22,22,22,22,22,22,22,21,21,21,21,23
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,624","2,622","2,619","2,618","2,618","2,614","2,612","2,604","2,603","2,602","2,602","2,603","2,596","2,592","2,589","2,581","2,573","2,572","2,571","3,082","2,572","2,568","2,570","2,569","2,566","2,565","2,564","2,591","2,613","2,623","2,633","2,635","2,596"
County Jails,"1,793","1,101","1,103","1,132","1,132","1,132","1,137","1,130","1,144","1,139","1,139","1,139","1,139","1,193","1,204","1,233","1,315","1,347","1,347","1,347","1,793","1,349","1,375","1,426","1,462","1,492","1,492","1,492","1,540","1,498","1,462","1,451","1,428","1,291"
COMMUNITY WORK CENTERS,"1,372",828,825,830,830,826,817,813,808,804,775,771,773,791,787,782,782,768,766,763,"1,372",770,762,759,757,741,740,739,739,741,774,791,812,783
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,67,67,67,67,67,66,66,66,67,67,67,67,69,69,69,69,69,69,69,124,69,68,67,65,65,65,65,66,70,70,66,73,68
