Location,Capacity_x,1-Apr-20,2-Apr-20,3-Apr-20,4-Apr-20,5-Apr-20,6-Apr-20,7-Apr-20,8-Apr-20,9-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,Capacity_y,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,Avg Population
Mississippi State Penitentiary,"3,560","2,099","2,094","2,094","2,091","2,090","2,089","2,087","2,084","2,081","2,079","2,080","2,080","2,080","2,080","2,075","2,074","2,072","2,070","3,560","2,070","2,075","2,071","2,069","2,065","2,064","2,064","2,063","2,061","2,061","2,857","2,051","2,102"
Central Mississippi Correctional Facility,"4,094","3,642","3,638","3,635","3,636","3,636","3,621","3,607","3,698","3,595","3,589","3,587","3,586","3,575","3,567","3,547","3,544","3,536","3,537","4,094","3,539","3,529","3,516","3,508","3,507","3,504","3,502","3,502","3,495","3,486","3,472","3,455",3560
Youthful Offender Unit,58,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,58,20,19,19,19,19,19,19,19,19,19,19,19,20
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,615","2,600","2,598","2,597","2,597","2,593","2,592","2,591","2,591","2,589","2,588","2,587","2,584","2,578","2,571","2,569","2,568","2,568","3,082","2,568","2,566","2,565","2,558","2,556","2,553","2,552","2,552","2,550","2,551","2,546","2,540",2574
County Jails,"1,793","1,358","1,361","1,365","1,365","1,365","1,365","1,373","1,373","1,369","1,380","1,380","1,380","1,380","1,379","1,376","1,390","1,419","1,419","1,793","1,419","1,428","1,426","1,427","1,441","1,442","1,442","1,442","1,442","1,452","1,456","1,465",1403
COMMUNITY WORK CENTERS,"1,372",720,713,710,702,700,698,695,692,691,684,683,674,663,642,635,633,627,627,"1,372",626,622,613,599,595,595,584,584,577,572,560,555,642
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,62,62,62,62,62,62,62,62,62,62,62,62,62,61,54,63,63,63,124,63,56,63,63,63,63,63,63,63,63,62,62,62
Delta TVC,324,138,131,128,120,118,116,115,114,114,109,108,100,92,76,74,71,66,66,324,66,66,58,44,42,42,32,31,25,22,21,17,77
Forrest Satellite Facility,96,81,81,81,81,81,81,80,80,80,80,80,80,80,79,78,78,77,77,96,77,76,76,76,76,75,75,75,75,74,73,73,78
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,102,30,30,30,30,30,30,30,30,30,30,30,30,30
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,54,54,54,54,54,54,54,54,54,54,54,54,53,52,59,52,54,54,62,54,60,53,53,53,53,53,53,53,53,53,53,54
Noxubee Satellite Facility,58,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,38,38,38,58,38,38,38,38,38,38,38,38,37,37,37,37,38
Pike Satellite Facility,93,90,90,90,90,90,90,90,90,90,89,89,89,89,89,88,88,87,87,93,86,86,86,86,85,86,85,86,86,85,84,84,88
Quitman Satellite Facility,93,55,55,55,55,55,55,54,54,53,53,53,53,53,53,52,52,52,52,93,52,52,52,52,52,52,52,52,52,52,52,52,53
