Location,Capacity_x,1-Jan-19,Unnamed: 3,2-Jan-19,3-Jan-19,4-Jan-19,5-Jan-19,6-Jan-19,7-Jan-19,8-Jan-19,9-Jan-19,10-Jan-19,11-Jan-19,12-Jan-19,13-Jan-19,14-Jan-19,15-Jan-19,16-Jan-19,17-Jan-19,Capacity_y,18-Jan-19,19-Jan-19,20-Jan-19,21-Jan-19,22-Jan-19,23-Jan-19,24-Jan-19,25-Jan-19,26-Jan-19,27-Jan-19,28-Jan-19,29-Jan-19,30-Jan-19,31-Jan-19,Avg Population
Mississippi State Penitentiary,"3,560","3,275","3,268","3,273","3,266","3,261","3,259","3,251","3,248","3,246","3,245","3,250","3,250","3,250","3,249","3,246","3,245","3,242",,"3,560","3,242","3,243","3,241","3,240","3,241","3,254","3,225","3,245","3,245","3,244","3,262","3,250","3,254","3,251","3,250"
Central Mississippi Correctional Facility,"4,131","3,864","3,882","3,863","3,889","3,889","3,888","3,874","3,874","3,870","3,870","3,856","3,856","3,854","3,850","3,848","3,843","3,830",,"4,131","3,828","3,828","3,828","3,831","3,744","3,693","3,801","3,780","3,816","3,817","3,778","3,756","3,774","3,757",3832
Youthful Offender Unit,58,36,36,36,36,36,36,36,36,35,35,34,34,36,36,36,36,36,,58,36,36,36,34,34,36,36,36,36,36,35,35,34,34,36
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","3,056","3,055","3,051","3,055","3,055","3,051","3,045","3,045","3,042","3,040","3,034","3,034","3,033","3,029","3,025","3,026","3,019",,"3,082","3,016","3,013","3,013","3,012","3,039","3,047","3,051","3,032","3,028","3,028","3,016","3,010","2,980","2,941",3033
County Jails,"1,781","1,147","1,118","1,105","1,074","1,074","1,074","1,074","1,096","1,110","1,117","1,147","1,147","1,147","1,170","1,200","1,273","1,273",,"1,781","1,292","1,292","1,292","1,292","1,284","1,245","1,234","1,229","1,229","1,229","1,224","1,261","1,254","1,256",1190
COMMUNITY WORK CENTERS,"1,454","1,008","1,026","1,021","1,028","1,028","1,024","1,019","1,011","1,005",998,989,987,979,966,956,942,937,,"1,454",888,885,885,905,928,951,952,950,950,950,968,905,953,"1,003",966
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,84,84,84,84,84,84,84,84,83,83,83,83,83,83,83,80,79,,124,73,72,72,78,79,80,80,79,79,79,81,82,83,85,81
Delta TVC,324,263,273,267,265,265,263,260,254,252,249,243,241,233,228,219,213,212,,324,211,209,209,204,198,225,224,224,224,224,235,228,248,248,235
Forrest Satellite Facility,96,50,60,62,62,62,62,62,62,62,61,61,61,61,61,61,61,60,,96,55,55,55,60,58,57,56,54,54,54,54,55,55,55,58
George Satellite Facility,102,73,73,72,77,77,77,77,76,76,76,76,76,76,76,75,74,74,,102,67,67,67,73,76,76,76,71,71,71,73,79,84,78,74
Harrison Satellite Facility,102,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,,102,44,44,44,44,48,46,46,44,44,44,44,0,0,46,44
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,70,68,68,68,68,68,68,68,68,67,66,66,66,66,66,66,66,,62,61,61,61,61,66,67,67,67,67,67,62,61,61,61,66
Noxubee Satellite Facility,58,53,53,53,53,53,53,52,52,52,52,52,52,52,52,52,52,52,,58,45,45,45,45,53,52,52,48,48,48,47,51,51,59,51
Pike Satellite Facility,93,73,73,72,72,72,72,72,71,71,71,70,70,70,69,69,68,68,,93,65,65,65,65,67,67,68,78,78,78,79,58,79,81,71
Quitman Satellite Facility,93,57,57,57,56,56,56,56,56,56,56,56,56,56,56,56,56,56,,93,56,56,56,56,55,54,53,53,53,53,56,56,58,58,56
Rankin Satellite Facility,178,151,151,149,153,153,153,153,153,150,149,149,149,149,148,148,147,146,,178,136,136,136,145,143,142,141,143,143,143,149,150,150,153,147
Rankin RID,28,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,28,19,19,19,19,19,19,19,19,19,19,19,19,19,16,19
Flowood TVC,50,19,19,19,19,19,17,17,17,17,16,16,16,16,11,11,9,9,,50,9,9,9,8,17,17,17,17,17,17,16,14,13,12,15
Simpson TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,49,49,52,52,52,52,51,51,51,51,50,50,50,49,49,49,49,,62,47,47,47,47,49,49,53,53,53,53,53,52,52,51,50
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","3,756","3,752","3,760","3,753","3,752","3,750","3,738","3,732","3,724","3,724","3,721","3,721","3,720","3,708","3,706","3,704","3,696",,"4,556","3,694","3,694","3,693","3,693","3,726","3,749","3,779","3,797","3,796","3,796","3,789","3,780","3,832","3,854",3741
Alcorn County,300,239,239,238,239,239,239,239,239,239,239,239,239,239,239,239,238,239,,300,239,239,239,239,240,240,245,245,245,245,245,245,244,254,240
Bolivar County,369,291,291,291,291,290,290,289,288,287,287,286,286,286,286,285,285,282,,369,282,282,282,282,288,288,291,291,291,291,289,287,287,287,287
Carroll County,280,269,269,270,268,268,267,267,267,265,265,265,265,265,263,262,261,260,,280,260,260,260,260,260,262,272,278,278,278,275,275,275,271,267
Chickasaw County,310,240,240,240,240,240,240,239,239,238,238,238,238,238,238,238,238,238,,310,238,238,238,238,236,236,239,243,243,243,240,240,240,249,239
George County,342,199,198,198,197,197,197,195,194,194,194,194,194,194,194,194,194,193,,342,193,193,193,193,192,207,208,225,225,225,235,233,259,285,203
Holmes County,280,200,200,200,199,199,199,199,199,199,199,199,199,199,199,199,199,199,,280,199,199,198,198,197,196,204,203,203,203,203,202,202,204,200
