"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","total"
"MSP","3861","2","1326","2","22","0","2","0","3","0","5218"
"CMCF","1162","798","607","438","7","4","2","2","4","2","3026"
"SMCI","1358","0","533","0","13","0","1","0","4","0","1909"
"County Jails (approved)","793","42","393","24","3","0","4","0","0","1","1260"
"County Jails (unapproved)","61","6","32","5","0","0","0","0","0","0","104"
"Private Prisons","2796","0","662","0","6","0","1","0","3","0","3468"
"Regional Correctional Facilities","1607","0","418","1","5","0","4","0","0","0","2035"
"Community Work Centers","882","70","287","44","4","0","1","1","0","0","1289"
"Community Trusties","17","0","7","0","0","0","0","0","0","0","24"
"CUSTODY POPULATION","12537","918","4265","514","60","4","15","3","14","3","18333"
"Intensive Supervison Program","587","113","395","100","3","1","0","0","4","0","1203"
"Earned Release Supervision","628","57","197","31","6","2","0","1","0","0","922"
"Medical Release","1","0","0","0","0","0","0","0","0","0","1"
"Other Custody","97","7","87","11","2","0","0","0","0","0","204"
"At Large","42","5","21","2","1","0","0","0","1","0","72"
"University of MS Medical Center","2","2","3","1","0","0","0","0","0","0","8"
"TOTAL","13894","1102","4968","659","72","7","15","4","19","3","20743"
"% of Total Offenses","66.98%","5.31%","23.95%","3.18%","0.35%","0.03%","0.07%","0.02%","0.09%","0.01%","100.00%"
