"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2260","1","990","0","19","0","2","0","4","0","1","0","3277"
"CMCF","1238","513","730","568","25","7","4","5","2","1","0","0","3093"
"SMCI","2095","0","1015","0","40","0","6","0","5","0","0","0","3161"
"County Jails (approved)","660","58","357","82","4","0","2","0","0","0","0","0","1163"
"County Jails (unapproved)","117","0","58","2","1","0","0","0","1","0","0","0","179"
"Private Prisons","3974","0","1262","0","33","0","8","0","2","0","1","0","5280"
"Regional Correctional Facilities","1983","32","915","28","30","0","2","0","5","0","1","0","2996"
"Community Work Centers","852","78","433","128","4","3","0","1","4","1","0","0","1504"
"Community Trusties","10","0","6","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","79","6","37","13","1","0","0","0","0","0","0","0","136"
"Court Order","133","13","93","16","1","0","1","0","1","0","0","0","258"
"","13401","701","5896","837","158","10","25","6","24","2","3","0","21063"
"Intensive Supervison Program","643","155","542","244","6","0","6","0","6","1","1","0","1604"
"Earned Release Supervision","918","79","391","56","7","0","0","0","2","0","0","0","1453"
"Medical Release","24","8","10","2","0","0","0","0","0","0","0","0","44"
"Other Custody","162","8","124","20","38","4","2","1","3","0","5","0","367"
"At Large","22","0","12","2","3","0","0","0","0","0","0","0","39"
"Off-Grounds Medical (Hospital)","2","1","4","0","0","0","0","0","0","0","0","0","7"
"TOTAL","15172","952","6979","1161","212","14","33","7","35","3","9","0","24577"
"percent_of_total","61.73%","3.87%","28.40%","4.72%",".86%",".06%",".13%",".03%",".14%",".01%",".04%",".00%","100.00%"
