"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2883","1","1126","0","28","0","2","0","4","0","0","0","4044"
"CMCF","1168","674","706","639","28","12","2","2","1","2","0","0","3234"
"SMCI","1938","0","959","0","55","0","4","0","6","0","0","0","2962"
"County Jails (approved)","591","79","300","88","7","1","1","0","0","0","2","0","1069"
"County Jails (unapproved)","129","12","81","15","1","0","0","0","0","0","1","0","239"
"Private Prisons","4098","0","1331","0","37","0","7","0","9","0","2","0","5484"
"Regional Correctional Facilities","2091","0","798","0","19","0","5","0","9","0","1","0","2923"
"Community Work Centers","1007","103","414","145","9","1","3","0","2","0","0","0","1684"
"Community Trusties","13","0","4","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","99","7","41","17","0","0","0","0","0","0","0","0","164"
"Court Order","133","8","81","12","1","0","0","0","0","0","0","0","235"
"CUSTODY POPULATION","14150","884","5841","916","185","14","24","2","31","2","6","0","22055"
"Intensive Supervison Program","495","141","423","182","6","0","1","1","4","1","2","0","1256"
"Earned Release Supervision","1025","92","417","57","4","0","2","0","2","0","0","0","1599"
"Medical Release","20","5","12","2","0","0","0","0","0","0","0","0","39"
"Other Custody","138","12","123","13","44","3","0","1","1","0","4","1","340"
"At Large","30","1","17","2","3","0","0","0","0","0","0","0","53"
"Off-Grounds Medical (Hospital)","2","1","2","2","0","0","0","0","0","0","0","0","7"
"TOTAL","15860","1136","6835","1174","242","17","27","4","38","3","12","1","25349"
"% OF TOTAL_offenses","62.57%","4.48%","26.96%","4.63%","0.95%","0.07%","0.11%","0.02%","0.15%","0.01%","0.05%","0.00%","100.00%"
