"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4157","0","1454","0","34","0","6","0","7","0","0","0","5658"
"CMCF","1069","832","616","566","11","4","3","1","2","5","0","0","3109"
"SMCI","1379","0","692","0","21","0","4","0","6","0","0","0","2102"
"County Jails (approved)","986","46","647","56","9","2","2","2","2","0","0","0","1752"
"County Jails (unapproved)","104","5","81","17","0","0","0","0","1","0","0","0","208"
"Private Prisons","2505","0","944","0","7","0","2","0","5","0","0","0","3463"
"Regional Correctional Facilities","2156","0","593","0","13","0","0","0","2","0","0","0","2764"
"Community Work Centers","919","113","364","104","6","0","0","0","2","0","0","0","1508"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"","13290","996","5398","743","101","6","17","3","27","5","0","0","20586"
"Intensive Supervison Program","564","100","464","170","5","2","2","2","2","0","0","0","1311"
"Earned Release Supervision","873","93","275","42","0","0","1","1","0","0","0","0","1285"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","112","3","97","10","3","0","0","0","0","0","0","0","225"
"At Large","91","8","50","11","2","0","0","0","0","1","0","0","163"
"University of MS Medical Center","1","0","0","0","0","0","0","0","0","0","0","0","1"
"TOTAL","14931","1200","6284","976","111","8","20","6","29","6","0","0","23571"
"% of Total Offenses","63.34%","5.09%","26.66%","4.14%","0.47%","0.03%","0.08%","0.03%","0.12%","0.03%","0.00%","0.00%","100.00%"
