"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2323","0","1033","0","29","0","3","0","4","0","0","0","3392"
"CMCF","1347","357","969","557","26","4","4","4","7","2","3","1","3281"
"SMCI","1716","0","896","0","29","0","1","0","3","0","0","0","2645"
"County Jails (approved)","328","1","312","9","4","0","0","0","2","0","2","0","658"
"County Jails (unapproved)","188","9","141","33","6","1","0","0","3","0","0","0","381"
"Youthful Offender Facility","25","0","3","0","1","0","0","0","0","0","0","0","29"
"Private Prisons","2301","0","876","0","19","0","7","0","2","0","1","0","3206"
"Regional Correctional Facilities","2618","88","1418","123","49","3","7","0","12","0","1","0","4319"
"Community Work Centers","283","28","206","123","4","3","2","1","0","1","0","0","651"
"Community Trusties","23","0","19","0","0","0","0","0","1","0","0","0","43"
"TVC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Transitional Housing","16","3","13","5","0","0","0","0","0","0","0","0","37"
"Pending File Review","44","1","34","2","0","0","0","0","1","0","0","0","82"
"RRP","36","5","37","22","1","0","0","0","0","0","0","0","101"
"Court Order","121","4","84","15","0","0","0","0","2","1","0","0","227"
"CUSTODY POPULATION","11369","496","6041","889","168","11","24","5","37","4","7","1","19052"
"Intensive Supervison Program","293","75","231","134","4","1","2","0","1","1","0","1","743"
"Earned Release Supervision","389","29","118","26","1","1","0","0","1","0","0","0","565"
"Medical Release","7","0","5","1","0","0","0","0","0","0","0","0","13"
"Other Custody","214","7","178","18","29","0","1","0","2","0","1","0","450"
"At Large","17","0","7","2","3","0","0","0","0","0","0","0","29"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","0","0","0","0","0","0","0","0","5"
"Off-Grounds Medical (Hospital)","10","0","5","0","1","0","0","0","0","0","0","0","16"
"TOTAL","12302","607","6589","1071","206","13","27","5","41","5","8","2","20876"
"percent_of_total","58.93%","2.91%","31.56%","5.13%",".99%",".06%",".13%",".02%",".20%",".02%",".04%",".01%","100.00%"
