"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3873","0","1315","1","22","0","1","0","4","0","1","0","5217"
"CMCF","1161","804","580","438","7","4","5","1","3","2","0","0","3005"
"SMCI","1394","0","577","1","14","0","0","0","2","0","0","0","1988"
"County Jails (approved)","894","39","474","27","3","2","3","0","0","0","0","0","1442"
"County Jails (unapproved)","59","7","46","6","0","0","0","0","0","0","0","0","118"
"Private Prisons","2807","0","683","0","5","0","2","0","3","0","0","0","3500"
"Regional Correctional Facilities","1616","0","422","0","5","0","3","0","1","0","0","0","2047"
"Community Work Centers","842","72","279","41","5","0","3","1","0","0","0","0","1243"
"Community Trusties","13","0","8","0","0","0","0","0","0","0","0","0","21"
"CUSTODY POPULATION","12659","922","4384","514","61","6","17","2","13","2","1","0","18581"
"Intensive Supervison Program","605","100","402","108","2","1","1","2","4","0","0","0","1225"
"Earned Release Supervision","673","60","233","37","6","2","0","1","1","0","0","0","1013"
"Medical Release","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","94","9","94","10","2","0","0","0","0","1","0","0","210"
"At Large","46","5","22","3","1","0","0","0","1","0","0","0","78"
"University of MS Medical Center","3","1","2","","0","0","0","0","0","0","0","0","6"
"TOTAL","14081","1097","5137","672","72","9","18","5","19","3","1","0","21114"
"% of Total Offenses","66.69%","5.20%","24.33%","3.18%","0.34%","0.04%","0.09%","0.02%","0.09%","0.01%","0.00%","0.00%","100.00%"
