"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4153","1","1461","0","35","0","7","0","6","0","0","0","5663"
"CMCF","1104","845","604","540","15","5","4","1","2","5","0","0","3125"
"SMCI","1372","0","707","0","18","0","4","0","6","0","0","0","2107"
"County Jails (approved)","1120","62","653","52","10","2","3","0","1","1","0","0","1904"
"County Jails (unapproved)","102","10","81","13","1","1","0","0","0","0","0","0","208"
"Private Prisons","2537","0","840","0","7","0","4","0","2","0","0","0","3390"
"Regional Correctional Facilities","2020","0","558","0","8","0","0","0","3","0","0","0","2589"
"Community Work Centers","818","83","340","72","5","0","2","0","1","0","1","0","1322"
"Community Trusties","11","0","7","0","0","0","","0","0","0","0","0","18"
"","13237","1001","5251","677","99","8","24","1","21","6","1","0","20326"
"Intensive Supervison Program","621","132","508","182","4","1","3","3","2","0","0","0","1456"
"Earned Release Supervision","779","81","272","36","1","0","1","1","0","0","0","0","1171"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","88","3","90","9","4","0","0","0","0","0","0","0","194"
"At Large","89","9","48","8","1","0","0","0","0","1","0","0","156"
"University of MS Medical Center","3","2","2","0","1","0","0","0","0","0","0","0","8"
"TOTAL","14817","1228","6171","912","110","9","28","5","23","7","1","0","23311"
"% of Total Offenses","63.56%","5.27%","26.47%","3.91%","0.47%","0.04%","0.12%","0.02%","0.10%","0.03%","0.00%","0.00%","100.00%"
