"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3,860","0","1,332","0","22","0","2","0","3","0","1","0","5,220"
"CMCF","1,130","802","632","442","4","5","3","1","3","3","0","0","3,025"
"SMCI","1,436","0","587","1","14","0","1","0","2","0","0","0","2,041"
"County Jails (approved)","929","43","485","27","6","2","4","0","0","0","0","0","1,496"
"County Jails (unapproved)","50","3","39","7","0","0","0","0","0","0","0","0","99"
"Private Prisons","2,799","0","679","0","5","0","2","0","2","0","0","0","3,487"
"Regional Correctional Facilities","1,611","0","414","0","4","0","3","0","2","0","0","0","2,034"
"Community Work Centers","865","74","277","44","5","0","2","1","0","0","0","0","1,268"
"Community Trusties","16","0","8","0","0","0","0","0","0","0","0","0","24"
"","12,696","922","4,453","521","60","7","17","2","12","3","1","0","18,694"
"Intensive Supervison Program","609","104","412","109","2","1","1","2","3","0","0","0","1,243"
"Earned Release Supervision","665","55","218","34","7","1","1","1","1","0","0","0","983"
"Medical Release","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","86","8","100","10","2","0","0","0","0","1","0","0","207"
"At Large","47","6","26","3","1","0","0","0","1","0","0","0","84"
"University of MS Medical Center","4","3","0","0","0","0","0","0","0","0","0","0","7"
"TOTAL","14,108","1,098","5,209","677","72","9","19","5","17","4","1","0","21,219"
"% of Total Offenses","66.49%","5.17%","24.55%","3.19%","0.34%","0.04%","0.09%","0.02%","0.08%","0.02%","0.00%","0.00%","100.00%"
