"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2296","0","1043","0","12","0","0","0","3","0","0","0","3354"
"CMCF","1473","447","820","519","20","4","3","2","9","0","1","0","3298"
"SMCI","2159","0","1032","0","44","0","5","0","8","0","0","0","3248"
"Youthful Offender Facility","19","0","3","0","1","0","0","0","0","0","0","0","23"
"County Jails (approved)","858","37","530","62","5","0","4","0","7","0","2","0","1505"
"County Jails (unapproved)","145","8","81","17","1","0","1","0","0","0","1","0","254"
"Private Prisons","3260","0","1050","0","28","0","2","0","3","0","0","0","4343"
"Regional Correctional Facilities","2717","140","1282","153","41","2","2","1","11","0","0","0","4349"
"Community Work Centers","769","77","451","169","4","1","2","0","2","0","1","0","1476"
"Community Trusties","7","0","3","0","0","0","0","0","0","0","0","0","10"
"Pending File Review","31","3","22","5","1","0","0","1","0","0","0","0","63"
"Court Order","231","10","158","21","2","0","0","0","0","0","0","0","422"
"CUSTODY POPULATION","13965","722","6475","946","159","7","19","4","43","0","5","0","22345"
"Intensive Supervison Program","658","154","543","281","6","1","3","0","4","2","5","0","1657"
"Earned Release Supervision","1004","92","422","78","3","0","0","0","2","1","0","0","1602"
"Medical Release","18","1","7","2","0","0","0","0","0","0","0","0","28"
"Other Custody","205","10","160","26","45","5","0","1","2","0","4","0","458"
"At Large","21","0","8","2","3","0","0","0","0","0","0","0","34"
"Off-Grounds Medical (Hospital)","9","0","1","1","0","0","0","0","0","0","0","0","11"
"TOTAL","15880","979","7616","1336","216","13","22","5","51","3","14","0","26135"
"percent_of_total","60.76%","3.75%","29.14%","5.11%",".83%",".05%",".08%",".02%",".20%",".01%",".05%",".00%","100.00%"
