"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2269","0","957","0","27","0","4","0","10","0","2","0","3269"
"CMCF","1640","374","1066","580","29","10","9","2","7","2","1","2","3722"
"SMCI","1940","0","1072","0","35","0","2","0","7","0","0","0","3056"
"County Jails (approved)","381","3","337","16","3","0","0","0","4","0","1","0","745"
"County Jails (unapproved)","192","13","144","16","4","0","0","0","2","0","1","0","372"
"Youthful Offender Facility","34","0","1","0","0","0","0","0","0","0","0","0","35"
"Private Prisons","2270","0","893","0","17","0","8","0","4","0","0","0","3192"
"Regional Correctional Facilities","2189","77","1227","112","48","2","6","1","14","0","0","0","3676"
"Community Work Centers","286","26","210","132","2","4","0","1","2","1","0","0","664"
"Community Trusties","8","0","2","0","0","0","0","0","0","0","0","0","10"
"TVC","31","0","21","0","0","0","0","0","0","0","0","0","52"
"Transitional Housing","20","3","12","6","1","0","0","0","0","0","0","0","42"
"Pending File Review","70","1","38","10","2","0","2","0","1","0","0","0","124"
"RRP","23","5","29","25","0","1","0","0","0","0","0","0","83"
"Court Order","135","5","100","21","1","0","0","0","2","0","0","0","264"
"CUSTODY POPULATION","11488","507","6109","918","169","17","31","4","53","3","5","2","19306"
"Intensive Supervison Program","316","56","246","127","4","2","0","0","1","1","1","0","754"
"Earned Release Supervision","398","28","131","23","1","1","0","0","1","0","0","0","583"
"Medical Release","7","0","6","1","0","0","0","0","0","0","0","0","14"
"Other Custody","239","6","173","21","23","0","0","0","2","0","1","0","465"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","0","0","0","0","0","0","1","0","6"
"Off-Grounds Medical (Hospital)","12","0","6","0","0","0","0","0","0","0","0","0","18"
"TOTAL","12478","597","6680","1093","200","20","31","4","57","4","8","2","21174"
"percent_of_total","58.93%","2.82%","31.55%","5.16%",".94%",".09%",".15%",".02%",".27%",".02%",".04%",".01%","100.00%"
