"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3278","1","1184","0","33","0","5","0","5","0","0","0","4506"
"CMCF","1209","753","692","670","11","6","4","1","1","5","1","0","3353"
"SMCI","1450","0","764","0","28","0","2","0","5","0","1","0","2250"
"County Jails (approved)","733","65","492","75","10","4","1","3","3","0","10","0","1396"
"County Jails (unapproved)","64","1","24","5","1","0","0","0","0","0","3","0","98"
"Private Prisons","3622","0","1176","0","25","0","3","0","8","0","4","0","4838"
"Regional Correctional Facilities","2199","0","840","0","19","0","3","0","6","0","1","0","3068"
"Community Work Centers","1041","105","486","105","11","1","4","0","3","0","0","0","1756"
"Community Trusties","14","0","3","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","23","1","4","6","0","0","0","0","0","0","0","0","34"
"Court Order","152","8","115","34","0","0","1","0","0","0","0","0","310"
"CUSTODY POPULATION","13785","934","5780","895","138","11","23","4","31","5","20","0","21626"
"Intensive Supervison Program","581","163","527","216","11","1","2","0","1","0","7","2","1511"
"Earned Release Supervision","1082","102","417","81","3","2","2","0","1","0","0","0","1690"
"Medical Release","4","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","122","7","114","13","30","1","0","0","3","0","2","1","293"
"At Large","74","5","22","4","5","0","0","0","1","0","0","0","111"
"Off-Grounds Medical (Hospital)","4","2","5","1","0","0","0","0","0","0","0","0","12"
"TOTAL","15652","1213","6869","1210","187","15","27","4","37","5","29","3","25251"
"% OF TOTAL_offenses","61.99%","4.80%","27.20%","4.79%","0.74%","0.06%","0.11%","0.02%","0.15%","0.02%","0.11%","0.01%","100.00%"
