"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2296","0","1043","0","12","0","0","0","3","0","0","0","3354"
"CMCF","1455","444","812","517","20","4","4","2","4","0","2","0","3264"
"SMCI","2118","0","1041","0","43","0","5","0","9","0","1","0","3217"
"Youthful Offender Facility","18","0","3","0","1","0","0","0","0","0","0","0","22"
"County Jails (approved)","859","37","513","50","4","1","2","0","6","0","1","1","1474"
"County Jails (unapproved)","170","19","84","14","1","1","1","0","7","0","1","0","298"
"Private Prisons","3214","0","1027","0","26","0","2","0","4","0","0","0","4273"
"Regional Correctional Facilities","2732","141","1254","158","40","2","2","1","8","0","0","0","4338"
"Community Work Centers","783","70","440","154","2","0","1","0","1","0","1","0","1452"
"Community Trusties","11","0","3","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","14","4","19","10","1","0","0","0","0","0","0","0","48"
"Court Order","230","14","147","29","0","1","0","0","1","0","0","0","422"
"","13900","729","6386","932","150","9","17","3","43","0","6","1","22176"
"Intensive Supervison Program","623","158","530","273","6","1","3","0","4","2","5","0","1605"
"Earned Release Supervision","968","83","430","79","3","0","1","0","3","0","0","0","1567"
"Medical Release","17","1","6","2","0","0","0","0","0","0","0","0","26"
"Other Custody","214","11","160","25","45","5","0","1","2","0","4","0","467"
"At Large","21","0","8","2","3","0","0","0","0","0","0","0","34"
"Off-Grounds Medical (Hospital)","6","1","2","1","0","0","0","0","0","0","0","0","10"
"TOTAL","15749","983","7522","1314","207","15","21","4","52","2","15","1","25885"
"percent_of_total","60.84%","3.80%","29.06%","5.08%",".80%",".06%",".08%",".02%",".20%",".01%",".06%",".00%","100.00%"
