"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2234","0","1082","0","19","0","4","0","6","0","1","0","3346"
"CMCF","1615","352","909","542","23","11","7","2","4","2","0","1","3468"
"SMCI","1952","0","983","0","22","0","2","0","5","0","0","0","2964"
"County Jails (approved)","463","5","356","29","5","0","2","0","2","0","1","0","863"
"County Jails (unapproved)","177","8","127","18","2","0","0","0","3","0","2","0","337"
"Youthful Offender Facility","31","0","1","0","1","0","0","0","0","0","0","0","33"
"Private Prisons","2385","0","900","0","29","0","9","0","4","0","0","0","3327"
"Regional Correctional Facilities","2321","99","1110","106","33","4","2","0","12","0","0","0","3687"
"Community Work Centers","415","40","239","120","5","2","2","0","3","0","1","0","827"
"Community Trusties","30","0","12","0","0","0","0","0","0","0","0","0","42"
"TVC","0","1","1","3","0","0","0","0","0","0","0","0","5"
"Pending File Review","66","5","34","5","2","0","0","0","1","0","0","0","113"
"Court Order","125","5","85","9","0","0","0","0","1","0","0","0","225"
"","11814","515","5839","832","141","17","28","2","41","2","5","1","19237"
"Intensive Supervison Program","270","89","219","103","3","2","1","1","5","0","0","0","693"
"Earned Release Supervision","435","45","139","39","4","0","0","0","1","0","0","0","663"
"Medical Release","6","0","4","2","0","0","0","0","0","0","0","0","12"
"Other Custody","231","14","206","21","41","3","1","1","4","0","3","0","525"
"Transitional Housing","0","0","0","0","0","0","0","0","0","0","0","0","0"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"RRP","3","0","4","0","0","0","0","0","0","0","0","0","7"
"Off-Grounds Medical (Hospital)","3","0","4","1","0","0","0","0","0","0","0","0","8"
"TOTAL","12777","663","6422","1001","192","22","30","4","51","2","8","1","21173"
"percent_of_total","60.35%","3.13%","30.33%","4.73%",".91%",".10%",".14%",".02%",".24%",".01%",".04%",".00%","100.00%"
