"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3954","1","1401","0","18","0","4","0","2","0","0","0","5380"
"CMCF","1070","815","622","498","15","5","3","1","2","3","0","0","3034"
"SMCI","1396","0","614","0","14","0","2","0","4","0","0","0","2030"
"County Jails (approved)","1024","71","547","58","10","2","2","0","1","0","0","0","1715"
"County Jails (unapproved)","117","12","79","16","3","0","1","0","0","0","0","0","228"
"Private Prisons","2584","0","834","0","6","0","3","0","1","0","0","0","3428"
"Regional Correctional Facilities","1973","0","521","0","7","0","1","0","3","0","0","0","2505"
"Community Work Centers","835","77","322","66","4","0","2","0","2","0","1","0","1309"
"Community Trusties","11","0","6","0","0","0","0","0","","0","0","0","17"
"CUSTODY POPULATION","12964","976","4946","638","77","7","18","1","15","3","1","0","19646"
"Intensive Supervison Program","671","115","495","150","4","1","3","1","2","1","0","0","1443"
"Earned Release Supervision","719","79","264","40","2","0","1","1","0","0","0","0","1106"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","100","7","108","14","4","0","0","0","1","1","0","0","235"
"At Large","52","4","19","5","1","0","0","0","0","0","0","0","81"
"University of MS Medical Center","4","0","3","0","0","0","0","0","0","0","0","0","7"
"TOTAL","14510","1181","5835","847","88","8","22","3","18","5","1","0","22518"
"% by Demographics","64.44%","5.24%","25.91%","3.76%","0.39%","0.04%","0.10%","0.01%","0.08%","0.02%","0.00%","0.00%","100.00%"
