"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2220","0","1039","0","17","0","9","0","5","0","0","0","3290"
"CMCF","1143","417","634","487","6","1","1","1","1","0","0","0","2691"
"SMCI","2062","0","1071","0","46","0","5","0","9","0","0","0","3193"
"County Jails (approved)","792","22","470","46","9","0","3","1","0","0","0","0","1343"
"County Jails (unapproved)","80","8","62","11","0","0","2","1","0","0","0","0","164"
"Youthful Offender Facility","26","0","11","0","0","0","0","0","0","0","0","0","37"
"Private Prisons","3219","0","1034","0","34","0","7","0","3","0","2","0","4299"
"Regional Correctional Facilities","2763","138","1301","142","39","1","1","1","6","0","0","0","4392"
"Community Work Centers","606","37","339","134","0","1","1","0","1","0","0","0","1119"
"Community Trusties","6","0","6","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","45","9","30","10","4","4","4","3","3","3","0","0","115"
"Transitional Housing","0","0","3","0","0","0","0","0","0","0","0","0","3"
"Court Order","152","10","99","19","1","0","0","0","3","1","0","0","285"
"","13114","641","6099","849","156","7","33","7","31","4","2","0","20943"
"Intensive Supervison Program","644","160","464","247","8","7","3","2","4","1","3","4","1547"
"Earned Release Supervision","948","70","322","77","7","0","3","0","4","0","0","0","1431"
"Medical Release","18","0","5","2","0","0","0","0","0","0","0","0","25"
"Other Custody","221","12","164","28","51","4","1","1","3","0","3","0","488"
"At Large","18","0","8","2","3","0","0","0","0","0","0","0","31"
"Off-Grounds Medical (Hospital)","7","0","2","1","0","0","0","0","0","0","0","0","10"
"TOTAL","14970","883","7064","1206","225","18","40","10","42","5","8","4","24475"
"percent_of_total","61.16%","3.61%","28.86%","4.93%",".92%",".07%",".16%",".04%",".17%",".02%",".03%",".02%","100.00%"
