"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2195","1","975","1","19","0","2","0","4","0","1","0","3198"
"CMCF","1299","507","766","554","18","5","4","4","3","0","0","0","3160"
"SMCI","2106","0","1016","0","41","0","6","0","4","0","0","0","3173"
"County Jails (approved)","632","59","355","88","4","0","2","0","0","0","0","0","1140"
"County Jails (unapproved)","99","0","66","10","2","0","0","0","0","0","1","0","178"
"Private Prisons","3966","0","1255","0","32","0","8","0","2","0","1","0","5264"
"Regional Correctional Facilities","1977","31","914","29","32","0","2","0","6","0","1","0","2992"
"Community Work Centers","867","75","467","135","4","3","0","1","3","0","0","0","1555"
"Community Trusties","11","0","3","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","71","9","39","15","3","0","0","1","0","0","0","0","138"
"Court Order","163","16","99","18","1","0","1","0","1","1","0","0","300"
"","13386","698","5955","850","156","8","25","6","23","1","4","0","21112"
"Intensive Supervison Program","640","154","536","249","6","0","5","0","7","1","1","0","1599"
"Earned Release Supervision","901","82","393","59","6","0","0","0","2","0","0","0","1443"
"Medical Release","24","8","9","3","0","0","0","0","0","0","0","0","44"
"Other Custody","161","8","126","20","37","5","2","1","3","0","5","0","368"
"At Large","23","0","11","2","3","0","0","0","0","0","0","0","39"
"Off-Grounds Medical (Hospital)","7","0","1","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15142","950","7031","1183","208","13","32","7","35","2","10","0","24613"
"percent_of_total","61.52%","3.86%","28.57%","4.81%",".85%",".05%",".13%",".03%",".14%",".01%",".04%",".00%","100.00%"
