"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3120","0","1171","0","38","0","3","0","8","0","0","0","4340"
"CMCF","1014","708","566","648","11","7","4","1","0","4","0","1","2964"
"SMCI","1382","0","700","0","25","0","4","0","6","0","0","0","2117"
"County Jails (approved)","517","55","416","59","6","2","0","1","3","0","4","1","1064"
"County Jails (unapproved)","3","0","0","0","0","0","0","0","0","0","0","0","3"
"Private Prisons","3629","0","1120","0","17","0","7","0","9","0","0","0","4782"
"Regional Correctional Facilities","2236","0","749","0","22","0","1","0","5","0","2","0","3015"
"Community Work Centers","1044","117","500","106","5","2","1","0","3","0","1","0","1779"
"Community Trusties","11","0","10","0","0","0","0","0","0","0","0","0","21"
"Pending File Review","5","24","2","12","0","0","0","1","0","0","0","0","44"
"Court Order","151","8","116","25","0","0","2","0","1","0","1","0","304"
"","13112","912","5350","850","124","11","22","3","35","4","8","2","20433"
"Intensive Supervison Program","644","148","584","190","4","1","0","0","2","1","8","1","1583"
"Earned Release Supervision","1169","114","462","86","6","1","1","0","0","0","0","0","1839"
"Medical Release","5","0","5","1","0","0","0","0","0","0","0","0","11"
"Other Custody","132","11","124","14","22","0","0","0","0","0","2","0","305"
"At Large","75","3","38","4","3","0","0","0","0","0","0","0","123"
"Off-Grounds Medical (Hospital)","4","1","0","1","0","0","0","0","0","0","0","0","6"
"TOTAL","15141","1189","6563","1146","159","13","23","3","37","5","18","3","24300"
"% OF TOTAL_offenses","62.31%","4.89%","27.01%","4.72%","0.65%","0.05%","0.09%","0.01%","0.15%","0.02%","0.07%","0.01%","100.00%"
