"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2297","0","1040","0","11","0","5","0","4","0","0","0","3357"
"CMCF","1457","446","846","510","23","6","5","4","7","0","0","0","3304"
"SMCI","2099","0","1038","0","40","0","5","0","0","10","0","0","3192"
"County Jails (approved)","888","44","485","48","8","0","7","2","0","0","0","0","1482"
"County Jails (unapproved)","128","13","86","26","4","0","4","0","0","0","0","0","261"
"Youthful Offender Facility","25","0","14","0","0","0","0","0","0","0","0","0","39"
"Private Prisons","3305","0","1050","0","33","0","6","0","7","0","0","0","4401"
"Regional Correctional Facilities","2772","135","1277","153","42","5","4","2","9","0","0","0","4399"
"Community Work Centers","723","68","418","152","0","2","0","3","6","0","0","0","1372"
"Community Trusties","7","0","6","0","0","0","0","0","0","0","0","0","13"
"Pending File Review","19","0","10","3","4","0","0","0","0","0","0","0","36"
"Court Order","181","19","114","24","3","0","0","0","2","0","0","0","343"
"CUSTODY POPULATION","13901","725","6384","916","168","13","36","11","35","10","0","0","22199"
"Intensive Supervison Program","659","170","472","230","8","3","3","0","5","0","3","3","1556"
"Earned Release Supervision","1039","83","420","106","4","0","4","0","3","0","0","0","1659"
"Medical Release","17","2","6","3","0","0","0","0","0","0","0","0","28"
"Other Custody","234","10","160","28","48","6","2","2","4","0","4","0","498"
"At Large","18","0","9","2","3","0","0","0","0","0","0","0","32"
"Off-Grounds Medical (Hospital)","3","0","5","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15871","990","7456","1285","231","22","45","13","47","10","7","3","25980"
"percent_of_total","61.09%","3.81%","28.70%","4.95%",".89%",".08%",".17%",".05%",".18%",".04%",".03%",".01%","100.00%"
