"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4,139","1","1,413","0","31","0","5","0","4","0","0","0","5,593"
"CMCF","1,056","818","617","512","13","5","8","1","2","2","0","0","3,034"
"SMCI","1,409","0","722","0","19","0","3","0","6","0","0","0","2,159"
"County Jails (approved)","1,083","89","646","69","9","2","3","0","1","2","0","0","1,904"
"County Jails (unapproved)","97","9","100","21","1","0","0","0","0","1","0","0","229"
"Private Prisons","2,559","0","828","0","8","0","4","0","2","0","0","0","3,401"
"Regional Correctional Facilities","1,950","0","525","0","6","0","0","0","3","0","0","0","2,484"
"Community Work Centers","809","81","333","74","4","0","1","0","1","0","1","0","1,304"
"Community Trusties","13","0","6","0","0","0","0","0","0","0","0","0","19"
"","13,115","998","5,190","676","91","7","24","1","19","5","1","0","20,127"
"Intensive Supervison Program","669","127","531","170","4","2","3","2","2","1","0","0","1,511"
"Earned Release Supervision","712","73","268","39","1","0","0","1","0","0","0","0","1,094"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","88","2","85","10","4","0","0","0","0","0","0","0","189"
"At Large","84","10","45","7","1","0","0","0","0","1","0","0","148"
"University of MS Medical Center","5","2","3","1","1","0","0","0","0","0","0","0","12"
"TOTAL","14,673","1,212","6,122","903","102","9","27","4","21","7","1","0","23,081"
"% of Total Offenses","63.57%","5.25%","26.52%","3.91%","0.44%","0.04%","0.12%","0.02%","0.09%","0.03%","0.00%","0.00%","100.00%"
