"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2917","0","1141","0","32","0","2","0","4","0","0","0","4096"
"CMCF","1291","707","690","661","21","12","2","2","3","2","1","0","3392"
"SMCI","2019","0","959","0","56","0","4","0","9","0","0","0","3047"
"County Jails (approved)","558","91","344","109","12","1","0","0","0","0","2","0","1117"
"County Jails (unapproved)","126","6","64","8","2","0","1","0","0","0","0","0","207"
"Private Prisons","4097","0","1336","0","34","0","7","0","8","0","2","0","5484"
"Regional Correctional Facilities","2100","0","787","0","19","0","5","0","7","0","1","0","2919"
"Community Work Centers","865","98","395","142","11","0","3","0","1","0","0","0","1515"
"Community Trusties","15","0","5","0","0","0","0","0","0","0","0","0","20"
"Pending File Review","113","8","48","14","0","0","0","0","0","0","0","0","183"
"Court Order","153","7","92","13","2","0","0","0","0","0","0","0","267"
"CUSTODY POPULATION","14254","917","5861","947","189","13","24","2","32","2","6","0","22247"
"Intensive Supervison Program","433","137","402","169","4","0","2","0","4","1","2","1","1155"
"Earned Release Supervision","1045","94","407","56","3","0","2","0","1","0","0","0","1608"
"Medical Release","19","5","12","2","0","0","0","0","0","0","0","0","38"
"Other Custody","132","12","120","14","42","3","0","1","1","0","4","1","330"
"At Large","29","1","15","2","3","0","0","0","0","0","0","0","50"
"Off-Grounds Medical (Hospital)","3","0","5","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15915","1166","6822","1191","241","16","28","3","38","3","12","2","25437"
"% OF TOTAL_offenses","62.57%","4.58%","26.82%","4.68%","0.95%","0.06%","0.11%","0.01%","0.15%","0.01%","0.05%","0.01%","100.00%"
