"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2693","0","1116","1","28","0","1","0","5","0","1","0","3845"
"CMCF","1391","799","765","687","22","10","1","2","1","2","0","0","3680"
"SMCI","2064","0","975","0","46","0","3","0","9","0","0","0","3097"
"County Jails (approved)","664","97","370","106","12","1","0","0","0","0","6","0","1256"
"County Jails (unapproved)","99","6","68","18","4","0","0","0","0","0","2","1","198"
"Private Prisons","4196","0","1309","0","28","0","7","0","6","0","3","0","5549"
"Regional Correctional Facilities","2212","0","838","0","19","0","3","0","5","0","0","0","3077"
"Community Work Centers","1069","106","487","140","12","0","4","1","0","0","0","0","1819"
"Community Trusties","13","0","5","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","70","9","34","11","0","0","0","0","0","0","0","0","124"
"Court Order","198","15","124","26","2","0","0","0","1","0","0","0","366"
"CUSTODY POPULATION","14669","1032","6091","989","173","11","19","3","27","2","12","1","23029"
"Intensive Supervison Program","481","144","410","164","8","1","3","1","3","3","5","2","1225"
"Earned Release Supervision","1144","115","508","79","5","1","1","0","1","1","0","0","1855"
"Medical Release","20","3","13","1","0","0","0","0","0","0","0","0","37"
"Other Custody","130","8","117","14","41","3","0","1","3","0","4","1","322"
"At Large","35","2","14","2","3","0","0","0","0","0","0","0","56"
"Off-Grounds Medical (Hospital)","2","0","2","0","0","0","0","0","0","0","0","0","4"
"TOTAL","16481","1304","7155","1249","230","16","23","5","34","6","21","4","26528"
"% OF TOTAL_offenses","62.13%","4.92%","26.97%","4.71%","0.87%","0.06%","0.09%","0.02%","0.13%","0.02%","0.08%","0.02%","100.00%"
