"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3281","0","1272","0","37","0","5","0","4","0","1","0","4600"
"CMCF","1132","735","588","629","11","7","3","1","3","5","2","0","3116"
"SMCI","1441","0","697","0","24","0","2","0","10","0","0","0","2174"
"County Jails (approved)","630","57","439","69","7","1","1","2","4","0","4","1","1215"
"County Jails (unapproved)","13","0","10","2","0","0","0","0","0","0","0","0","25"
"Private Prisons","3614","0","1183","0","18","0","7","0","10","0","0","0","4832"
"Regional Correctional Facilities","2020","0","698","0","17","0","1","0","2","0","0","0","2738"
"Community Work Centers","989","113","471","96","5","1","2","0","3","0","0","0","1680"
"Community Trusties","10","0","10","0","0","0","0","0","0","0","0","0","20"
"Pending File Review","7","4","6","2","0","0","0","0","0","0","0","0","19"
"CUSTODY POPULATION","13137","909","5374","798","119","9","21","3","36","5","7","1","20419"
"Intensive Supervison Program","690","137","597","195","5","1","1","0","3","1","10","2","1642"
"Earned Release Supervision","1218","123","466","69","4","0","1","0","0","0","0","0","1881"
"Medical Release","3","0","3","1","0","0","0","0","0","0","0","0","7"
"Other Custody","131","7","123","11","19","0","0","0","0","0","2","0","293"
"Court Order","181","16","156","36","0","0","2","0","0","1","0","0","392"
"At Large","64","4","32","4","3","0","0","0","0","0","0","0","107"
"Off-Grounds Medical (Hospital)","3","0","0","1","0","0","0","0","0","0","0","0","4"
"TOTAL","15427","1196","6751","1115","150","10","25","3","39","7","19","3","24745"
"% OF TOTAL_offenses","62.34%","4.83%","27.28%","4.51%","0.61%","0.04%","0.10%","0.01%","0.16%","0.03%","0.08%","0.01%","100.00%"
