"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3218","0","1197","0","39","0","1","0","4","0","0","0","4459"
"CMCF","1158","750","693","635","13","8","6","1","0","4","1","0","3269"
"SMCI","1229","0","667","0","19","0","4","0","6","0","0","0","1925"
"County Jails (approved)","638","58","465","79","12","2","0","0","2","0","6","1","1263"
"County Jails (unapproved)","32","3","32","4","0","0","0","0","0","0","0","0","71"
"Private Prisons","3628","0","1126","0","20","0","9","0","8","0","3","0","4794"
"Regional Correctional Facilities","2256","0","756","0","16","0","2","0","7","0","2","0","3039"
"Community Work Centers","1032","107","500","108","12","2","1","1","2","0","1","0","1766"
"Community Trusties","10","0","7","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","21","3","13","3","0","0","0","0","0","0","0","0","40"
"Court Order","176","11","132","35","2","0","0","0","1","0","1","0","358"
"CUSTODY POPULATION","13398","932","5588","864","133","12","23","2","30","4","14","1","21001"
"Intensive Supervison Program","622","153","555","200","5","1","1","0","1","0","10","1","1549"
"Earned Release Supervision","1026","86","416","82","3","0","1","0","1","0","0","0","1615"
"Medical Release","6","0","4","0","0","0","0","0","0","0","0","0","10"
"Other Custody","139","8","126","14","24","0","0","0","2","0","2","0","315"
"At Large","83","6","43","4","3","0","0","0","0","0","0","0","139"
"Off-Grounds Medical (Hospital)","1","2","2","1","0","0","0","0","0","0","0","0","6"
"TOTAL","15275","1187","6734","1165","168","13","25","2","34","4","26","2","24635"
"% OF TOTAL_offenses","62.01%","4.82%","27.34%","4.73%","0.68%","0.05%","0.10%","0.01%","0.14%","0.02%","0.11%","0.01%","100.00%"
