"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3,038","1","1,123","1","29","0","1","0","5","0","1","0","4,199"
"CMCF","1,439","780","826","689","18","8","0","0","1","2","2","0","3,765"
"SMCI","2,113","0","940","0","46","0","2","0","11","0","0","0","3,112"
"County Jails (approved)","809","116","430","115","9","1","5","2","1","0","6","0","1,494"
"County Jails (unapproved)","154","14","59","7","2","0","0","0","0","0","1","0","237"
"Private Prisons","3,622","0","1,131","0","27","0","6","0","7","0","2","0","4,795"
"Regional Correctional Facilities","2,194","0","856","0","25","0","2","0","5","0","0","0","3,082"
"Community Work Centers","1,016","92","489","112","9","0","3","1","1","0","0","0","1,723"
"Community Trusties","10","0","6","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","37","7","18","10","0","0","0","0","0","0","0","0","72"
"Court Order","179","9","111","28","0","0","0","0","1","0","0","0","328"
"","14,611","1,019","5,989","962","165","9","19","3","32","2","12","0","22,823"
"Intensive Supervison Program","461","142","377","166","10","2","4","1","2","4","5","3","1,177"
"Earned Release Supervision","1,097","117","481","86","5","1","0","0","0","1","0","0","1,788"
"Medical Release","16","3","15","0","0","0","0","0","0","0","0","0","34"
"Other Custody","128","11","117","13","37","3","0","0","3","0","3","1","316"
"At Large","38","2","15","2","3","0","0","0","0","0","0","0","60"
"Off-Grounds Medical (Hospital)","2","0","2","3","0","0","0","0","0","0","0","0","7"
"TOTAL","16,353","1,294","6,996","1,232","220","15","23","4","37","7","20","4","26,205"
"% OF TOTAL_offenses","62.40%","4.94%","26.70%","4.70%","0.84%","0.06%","0.09%","0.02%","0.14%","0.03%","0.08%","0.02%","100.00%"
