"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2922","0","1137","0","30","0","2","0","3","0","0","0","4094"
"CMCF","1265","725","700","661","25","11","3","2","1","1","1","0","3395"
"SMCI","2043","0","988","0","51","0","3","0","10","0","0","0","3095"
"County Jails (approved)","623","92","351","107","12","1","1","0","0","0","1","0","1188"
"County Jails (unapproved)","182","7","84","12","1","0","3","0","0","1","0","1","291"
"Private Prisons","4087","0","1342","0","36","0","8","0","8","0","2","0","5483"
"Regional Correctional Facilities","2113","0","783","0","20","0","3","0","7","0","1","0","2927"
"Community Work Centers","959","110","443","142","13","0","2","0","1","0","0","0","1670"
"Community Trusties","12","0","6","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","46","7","24","14","0","0","0","0","0","0","0","0","91"
"Court Order","180","9","82","16","1","0","0","0","1","0","0","0","289"
"","14432","950","5940","952","189","12","25","2","31","2","5","1","22541"
"Intensive Supervison Program","457","144","415","165","4","0","2","0","4","1","1","1","1194"
"Earned Release Supervision","1077","92","420","58","4","0","1","0","3","0","0","0","1655"
"Medical Release","18","4","12","2","0","0","0","0","0","0","0","0","36"
"Other Custody","130","12","119","14","41","3","0","1","1","0","4","1","326"
"At Large","29","1","14","2","3","0","0","0","0","0","0","0","49"
"Off-Grounds Medical (Hospital)","4","0","1","1","0","1","0","0","0","0","0","0","7"
"TOTAL","16147","1203","6921","1194","241","16","28","3","39","3","10","3","25808"
"% OF TOTAL_offenses","62.57%","4.66%","26.82%","4.63%","0.93%","0.06%","0.11%","0.01%","0.15%","0.01%","0.04%","0.01%","100.00%"
