"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2119","0","956","1","18","0","4","0","3","0","0","0","3101"
"CMCF","1243","508","784","620","13","7","3","3","3","1","0","0","3185"
"SMCI","2046","0","1027","0","46","0","6","0","6","0","0","0","3131"
"County Jails (approved)","728","56","450","95","2","1","2","0","0","1","0","0","1335"
"County Jails (unapproved)","132","4","88","9","4","1","0","0","0","0","0","0","238"
"Private Prisons","3875","0","1231","0","33","0","7","0","6","0","0","0","5152"
"Regional Correctional Facilities","2195","25","1010","35","32","0","2","0","4","0","2","0","3305"
"Community Work Centers","936","54","419","144","7","0","1","0","2","0","0","0","1563"
"Community Trusties","11","0","8","0","0","0","0","0","0","0","0","0","19"
"Pending File Review","33","5","24","9","1","0","0","0","0","0","0","0","72"
"Court Order","153","8","75","19","0","0","0","0","1","0","0","0","256"
"CUSTODY POPULATION","13471","660","6072","932","156","9","25","3","25","2","2","0","21357"
"Intensive Supervison Program","608","155","539","252","10","1","4","0","6","0","2","0","1577"
"Earned Release Supervision","905","74","347","69","1","1","1","0","0","0","0","0","1398"
"Medical Release","21","5","7","3","0","0","0","0","0","0","0","0","36"
"Other Custody","179","9","134","18","41","4","1","1","2","0","5","0","394"
"At Large","21","0","11","2","3","0","0","0","0","0","0","0","37"
"Off-Grounds Medical (Hospital)","12","2","3","0","0","0","0","0","0","0","0","0","17"
"TOTAL","15217","905","7113","1276","211","15","31","4","33","2","9","0","24816"
"percent_of_total","61.32%","3.65%","28.66%","5.14%",".85%",".06%",".12%",".02%",".13%",".01%",".04%",".00%","100.00%"
