"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,238","0","1,029","0","16","0","1","0","4","0","0","0","3,288"
"CMCF","1,283","411","769","510","20","9","3","3","1","1","1","0","3,011"
"SMCI","2,130","0","997","0","39","0","5","0","2","0","0","0","3,173"
"County Jails (approved)","716","51","417","78","5","1","2","0","1","0","1","0","1,272"
"County Jails (unapproved)","351","9","221","15","9","0","0","0","2","0","1","0","608"
"Private Prisons","3,113","0","1,027","0","23","0","3","0","9","0","0","0","4,175"
"Regional Correctional Facilities","2,697","129","1,209","163","38","0","1","0","5","1","1","0","4,244"
"Community Work Centers","892","55","403","126","6","1","1","0","3","0","0","0","1,487"
"Community Trusties","5","0","4","0","0","0","0","0","0","0","0","0","9"
"Pending File Review","36","4","17","8","3","0","0","0","0","0","0","0","68"
"Court Order","214","10","128","20","1","0","0","0","3","0","0","0","376"
"CUSTODY POPULATION","13,675","669","6,221","920","160","11","16","3","30","2","4","0","21,711"
"Intensive Supervison Program","597","156","551","250","6","2","3","1","1","0","0","1","1,568"
"Earned Release Supervision","998","88","446","77","","6","0","0","0","1","0","0","1,616"
"Medical Release","17","1","4","1","0","0","0","0","0","0","0","0","23"
"Other Custody","197","12","152","20","45","4","0","1","2","0","4","0","437"
"At Large","22","0","10","2","3","0","0","0","0","0","0","0","37"
"Off-Grounds Medical (Hospital)","6","0","1","0","0","0","0","0","0","0","0","0","7"
"TOTAL","15,512","926","7,385","1,270","214","23","19","5","33","3","8","1","25,399"
"percent_of_total","61.07%","3.65%","29.08%","5.00%",".84%",".09%",".07%",".02%",".13%",".01%",".03%",".00%","100.00%"
