"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2316","0","1061","1","13","0","3","0","3","0","0","0","3397"
"CMCF","1492","443","808","528","19","2","5","2","2","0","0","0","3301"
"SMCI","2136","0","1036","0","43","0","2","0","9","0","0","0","3226"
"County Jails (approved)","907","41","529","62","5","0","2","1","4","0","0","0","1551"
"County Jails (unapproved)","241","26","150","24","2","1","1","0","0","0","1","0","446"
"Youthful Offender Facility","24","0","8","0","1","0","0","0","0","0","0","0","33"
"Private Prisons","3236","0","1031","0","29","0","3","0","7","0","0","0","4306"
"Regional Correctional Facilities","2813","142","1261","153","40","1","2","1","7","0","0","0","4420"
"Community Work Centers","814","70","445","160","1","0","1","0","3","0","1","0","1495"
"Community Trusties","6","0","4","0","0","0","0","0","0","0","0","0","10"
"Pending File Review","32","5","35","5","2","0","0","0","1","0","0","0","80"
"Court Order","198","12","121","26","2","0","0","0","2","0","0","0","361"
"CUSTODY POPULATION","14215","739","0","959","157","4","19","4","38","0","2","0","22626"
"Intensive Supervison Program","668","190","488","255","5","3","3","0","3","2","5","2","1624"
"Earned Release Supervision","1027","80","454","104","4","1","3","0","2","0","0","0","1675"
"Medical Release","16","1","5","2","0","0","0","0","0","0","0","0","24"
"Other Custody","224","11","165","28","45","5","0","1","4","0","4","0","487"
"At Large","19","0","8","2","3","0","0","0","0","0","0","0","32"
"Off-Grounds Medical (Hospital)","7","0","4","1","0","0","0","0","0","0","0","0","12"
"TOTAL","16176","1021","1124","1351","214","13","25","5","47","2","11","2","26480"
"percent_of_total","61.09%","3.86%","4.24%","5.10%",".81%",".05%",".09%",".02%",".18%",".01%",".04%",".01%","100.00%"
