"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2227","0","1015","0","21","0","2","0","4","0","0","0","3269"
"CMCF","1027","355","631","450","16","4","3","3","2","2","0","0","2493"
"SMCI","1788","0","910","0","27","0","2","0","5","0","0","0","2732"
"County Jails (approved)","407","15","257","43","3","0","3","0","1","0","1","0","730"
"County Jails (unapproved)","160","7","128","11","0","0","0","0","0","0","0","0","306"
"Youthful Offender Facility","26","0","2","0","1","0","0","0","0","0","0","0","29"
"Private Prisons","2829","0","1063","0","25","0","9","0","6","0","0","0","3932"
"Regional Correctional Facilities","2520","114","1151","114","39","3","4","0","10","0","1","0","3956"
"Community Work Centers","501","45","279","109","0","2","1","0","3","0","1","0","941"
"Community Trusties","11","0","1","0","0","0","2","0","2","0","0","0","16"
"Pending File Review","48","5","28","9","0","0","0","0","1","0","0","0","91"
"Court Order","149","4","86","16","0","0","0","0","1","0","0","0","256"
"","11693","545","5551","752","132","9","26","3","35","2","3","0","18751"
"Intensive Supervison Program","341","97","238","123","4","3","1","1","2","0","0","0","810"
"Earned Release Supervision","535","64","193","38","3","0","0","0","1","0","0","0","834"
"Medical Release","6","0","4","2","0","0","0","0","0","0","0","0","12"
"Other Custody","233","12","203","25","41","4","2","1","3","3","0","0","527"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"Off-Grounds Medical (Hospital)","6","0","3","0","0","0","1","0","0","0","0","0","10"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"TOTAL","12829","718","6199","943","183","16","30","5","41","5","3","0","20972"
"percent_of_total","61.17%","3.42%","29.56%","4.50%",".87%",".08%",".14%",".02%",".20%",".02%",".01%",".00%","100.00%"
