"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2302","0","1055","1","13","0","3","0","3","0","0","0","3377"
"CMCF","1447","448","826","514","16","4","8","3","2","1","","0","3269"
"SMCI","2124","0","1020","0","41","0","4","0","0","9","0","0","3198"
"County Jails (approved)","895","41","519","54","5","0","4","1","2","0","0","0","1521"
"County Jails (unapproved)","166","14","85","18","8","1","","0","0","0","0","0","292"
"Youthful Offender Facility","24","0","13","0","0","0","0","0","0","0","0","0","37"
"Private Prisons","3312","0","1059","0","33","0","5","0","6","0","0","0","4415"
"Regional Correctional Facilities","2789","141","1285","156","41","2","2","1","8","0","0","0","4425"
"Community Work Centers","740","70","418","149","","1","0","2","5","0","0","0","1385"
"Community Trusties","7","0","2","0","0","0","0","0","0","0","0","0","9"
"Pending File Review","18","3","15","2","","0","0","0","","0","0","0","38"
"Court Order","196","17","124","23","3","1","0","0","1","0","0","0","365"
"CUSTODY POPULATION","14020","734","6421","917","160","9","26","7","27","10","0","0","22331"
"Intensive Supervison Program","653","166","471","239","7","3","2","0","4","0","2","2","1549"
"Earned Release Supervision","1038","82","419","105","3","0","3","0","2","0","0","0","1652"
"Medical Release","15","1","5","2","0","0","0","0","0","0","0","0","23"
"Other Custody","229","9","161","28","47","5","1","1","3","0","3","0","487"
"At Large","18","0","8","2","3","0","0","0","0","0","0","0","31"
"Off-Grounds Medical (Hospital)","4","0","5","0","0","0","0","0","0","0","0","0","9"
"TOTAL","15977","992","7490","1293","220","17","32","8","36","10","5","2","26082"
"percent_of_total","61.26%","3.80%","28.72%","4.96%",".84%",".07%",".12%",".03%",".14%",".04%",".02%",".01%","100.00%"
