"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2210","1","979","0","20","0","1","0","4","0","0","0","3215"
"CMCF","1258","489","779","556","19","5","4","4","3","1","0","0","3118"
"SMCI","2108","0","1006","0","44","0","7","0","4","0","0","0","3169"
"County Jails (approved)","618","51","368","78","3","0","2","0","0","0","1","0","1121"
"County Jails (unapproved)","123","1","73","7","4","0","0","0","1","0","1","0","210"
"Private Prisons","3908","0","1261","0","29","0","8","0","2","0","1","0","5209"
"Regional Correctional Facilities","1983","28","912","31","31","0","2","0","6","0","2","0","2995"
"Community Work Centers","803","65","421","131","4","1","0","0","4","0","0","0","1429"
"Community Trusties","11","0","4","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","48","10","25","13","2","0","0","0","0","0","0","0","98"
"Court Order","167","17","113","18","1","0","1","0","1","0","0","0","318"
"","13237","662","5941","834","157","6","25","4","25","1","5","0","20897"
"Intensive Supervison Program","649","159","562","251","10","0","6","1","7","1","1","1","1648"
"Earned Release Supervision","917","77","393","62","6","0","0","1","3","0","0","0","1459"
"Medical Release","22","8","9","3","0","0","0","0","0","0","0","0","42"
"Other Custody","169","8","127","19","37","5","2","1","2","0","5","0","375"
"At Large","23","0","11","2","3","0","0","0","0","0","0","0","39"
"Off-Grounds Medical (Hospital)","4","0","4","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15021","914","7047","1171","213","11","33","7","37","2","11","1","24468"
"percent_of_total","61.39%","3.74%","28.80%","4.79%",".87%",".04%",".13%",".03%",".15%",".01%",".04%",".00%","100.00%"
