"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2799","0","1091","0","25","0","2","0","3","0","0","0","3920"
"CMCF","1284","569","806","594","18","8","0","2","1","2","0","0","3284"
"SMCI","1760","0","903","0","48","0","5","0","5","0","0","0","2721"
"County Jails (approved)","596","82","347","88","6","1","0","1","0","0","3","0","1124"
"County Jails (unapproved)","125","12","65","22","2","0","0","0","0","0","1","0","227"
"Private Prisons","4073","0","1412","0","34","0","7","0","7","0","1","0","5534"
"Regional Correctional Facilities","2081","45","810","30","23","0","6","0","7","0","2","0","3004"
"Community Work Centers","866","106","378","124","7","3","2","2","0","0","0","0","1488"
"Community Trusties","15","0","1","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","25","4","13","6","0","0","0","0","0","0","0","0","48"
"Court Order","118","10","71","19","1","0","0","0","0","0","0","0","219"
"","13742","828","5897","883","164","12","22","5","23","2","7","0","21585"
"Intensive Supervison Program","565","143","417","203","7","0","2","0","5","0","2","0","1344"
"Earned Release Supervision","967","86","362","55","7","0","1","0","1","0","0","0","1479"
"Medical Release","20","7","8","2","0","0","0","0","0","0","0","0","37"
"Other Custody","153","10","124","15","43","3","0","1","2","0","5","1","357"
"At Large","26","0","15","2","3","0","0","0","0","0","0","0","46"
"Off-Grounds Medical (Hospital)","6","0","3","0","0","0","0","0","0","0","0","0","9"
"TOTAL","15479","1074","6826","1160","224","15","25","6","31","2","14","1","24857"
"% OF TOTAL_offenses","62.27%","4.32%","27.46%","4.67%","0.90%","0.06%","0.10%","0.02%","0.12%","0.01%","0.06%","0.00%","100.00%"
