"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2116","0","958","0","20","0","2","0","6","0","1","0","3103"
"CMCF","972","365","528","418","9","3","2","2","1","1","2","0","2303"
"SMCI","1612","0","867","0","36","0","1","0","4","0","0","0","2520"
"County Jails (approved)","475","19","253","36","7","0","0","0","0","1","0","0","791"
"County Jails (unapproved)","121","10","71","22","1","0","0","0","1","0","0","0","226"
"Youthful Offender Facility","19","0","3","0","1","0","0","0","0","0","0","0","23"
"Private Prisons","2899","0","946","0","19","0","8","0","9","0","0","0","3881"
"Regional Correctional Facilities","2712","106","1212","118","34","1","4","0","11","0","0","0","4198"
"Community Work Centers","600","59","343","133","0","2","3","0","1","0","2","0","1143"
"Community Trusties","11","0","3","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","44","4","24","6","0","0","0","0","1","0","1","0","80"
"Court Order","95","5","74","14","1","1","0","0","0","0","0","0","190"
"CUSTODY POPULATION","11676","568","5282","747","128","7","20","2","34","2","6","0","18472"
"Intensive Supervison Program","412","114","313","184","5","3","0","1","4","0","1","1","1038"
"Earned Release Supervision","581","50","190","31","3","1","0","0","2","0","0","0","858"
"Medical Release","8","0","7","1","0","0","0","0","0","0","0","0","16"
"Other Custody","246","14","182","23","50","6","2","1","4","0","3","0","531"
"At Large","16","0","6","2","3","0","0","0","0","0","0","0","27"
"Off-Grounds Medical (Hospital)","6","0","3","0","0","0","0","0","0","0","0","0","9"
"TOTAL","12945","746","5983","988","189","17","22","4","44","2","10","1","20951"
"percent_of_total","61.79%","3.56%","28.56%","4.72%",".90%",".08%",".11%",".02%",".21%",".01%",".05%",".00%","100.00%"
