"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3098","0","1187","0","31","0","5","0","6","0","0","0","4327"
"CMCF","1067","729","607","621","9","8","2","2","0","5","1","0","3051"
"SMCI","1440","0","688","0","26","0","2","0","8","0","0","0","2164"
"County Jails (approved)","644","55","503","76","10","2","0","1","3","0","2","2","1298"
"County Jails (unapproved)","33","2","22","4","1","0","0","0","1","0","1","0","64"
"Private Prisons","3644","0","1151","0","21","0","7","0","10","0","0","0","4833"
"Regional Correctional Facilities","2178","0","732","0","21","0","0","0","4","0","1","0","2936"
"Community Work Centers","973","117","473","106","5","1","1","0","3","0","1","0","1680"
"Community Trusties","9","0","8","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","3","1","2","3","0","0","0","0","0","0","0","0","9"
"Court Order","161","14","140","37","1","0","2","0","0","1","0","0","356"
"CUSTODY POPULATION","13250","918","5513","847","125","11","19","3","35","6","6","2","20735"
"Intensive Supervison Program","686","146","596","203","5","1","2","0","4","1","8","1","1653"
"Earned Release Supervision","1223","123","469","62","4","0","2","0","0","0","0","0","1883"
"Medical Release","4","0","3","1","0","0","0","0","0","0","0","0","8"
"Other Custody","132","9","120","12","20","0","0","0","0","0","2","0","295"
"At Large","69","2","34","4","3","0","0","0","0","0","0","0","112"
"Off-Grounds Medical (Hospital)","0","2","2","3","0","0","0","0","0","0","0","0","7"
"TOTAL","15364","1200","6737","1132","157","12","23","3","39","7","16","3","24693"
"% OF TOTAL_offenses","62.22%","4.86%","27.28%","4.58%","0.64%","0.05%","0.09%","0.01%","0.16%","0.03%","0.06%","0.01%","100.00%"
