"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3151","2","1135","0","30","0","1","0","7","0","0","0","4326"
"CMCF","1230","792","693","701","16","6","3","2","4","2","1","0","3450"
"SMCI","2014","0","989","0","46","0","2","0","12","0","0","0","3063"
"County Jails (approved)","673","61","458","84","6","2","0","0","3","0","3","0","1290"
"County Jails (unapproved)","104","16","53","20","2","0","0","0","0","0","2","0","197"
"Private Prisons","3613","0","1120","0","28","0","4","0","5","0","4","0","4774"
"Regional Correctional Facilities","2165","0","838","0","23","0","2","0","6","0","0","0","3034"
"Community Work Centers","1036","112","500","137","9","0","1","2","2","0","2","0","1801"
"Community Trusties","13","0","4","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","64","2","39","4","1","0","0","0","1","0","0","0","111"
"Court Order","121","15","104","29","1","0","2","0","0","0","0","0","272"
"CUSTODY POPULATION","14184","1000","5933","975","162","8","15","4","40","2","12","0","22335"
"Intensive Supervison Program","439","130","399","199","6","1","1","1","0","2","6","4","1188"
"Earned Release Supervision","1095","113","458","77","5","0","2","0","2","0","0","0","1752"
"Medical Release","6","1","6","0","0","0","0","0","0","0","0","0","13"
"Other Custody","133","11","121","14","32","3","0","0","4","0","4","1","323"
"At Large","49","2","16","3","4","0","0","0","0","0","0","0","74"
"Off-Grounds Medical (Hospital)","4","0","1","0","0","0","0","0","0","0","0","0","5"
"TOTAL","15910","1257","6934","1268","209","12","18","5","46","4","22","5","25690"
"% OF TOTAL_offenses","61.93%","4.89%","26.99%","4.94%","0.81%","0.05%","0.07%","0.02%","0.18%","0.02%","0.09%","0.02%","100.00%"
