"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2259","0","1055","0","14","0","1","0","4","0","0","0","3333"
"CMCF","1435","421","740","526","29","5","2","2","5","0","0","0","3165"
"SMCI","2130","0","1015","0","47","0","3","0","4","0","0","0","3199"
"County Jails (approved)","776","38","468","62","4","0","2","0","3","0","6","0","1359"
"County Jails (unapproved)","176","13","100","17","2","0","3","0","0","0","5","0","316"
"Private Prisons","3189","0","1053","0","21","0","4","0","7","0","0","0","4274"
"Regional Correctional Facilities","2733","134","1262","155","36","1","2","0","7","0","2","0","4332"
"Community Work Centers","871","75","493","162","4","2","1","0","3","0","0","0","1611"
"Community Trusties","9","0","3","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","28","3","21","1","1","0","0","0","0","0","0","0","54"
"Court Order","163","8","107","26","1","0","0","1","1","0","0","0","307"
"CUSTODY POPULATION","13769","692","6317","949","159","8","18","3","34","0","13","0","21962"
"Intensive Supervison Program","600","157","537","248","6","0","4","0","0","0","4","1","1557"
"Earned Release Supervision","1005","82","440","77","4","0","0","0","2","2","0","0","1612"
"Medical Release","14","1","6","1","0","0","0","0","0","0","0","0","22"
"Other Custody","200","9","160","22","46","5","0","1","2","0","4","0","449"
"At Large","21","0","9","2","3","0","0","0","0","0","0","0","35"
"Off-Grounds Medical (Hospital)","6","1","4","1","0","0","0","0","0","0","0","0","12"
"TOTAL","15615","942","7473","1300","218","13","22","4","38","2","21","1","25649"
"percent_of_total","60.88%","3.67%","29.14%","5.07%",".85%",".05%",".09%",".02%",".15%",".01%",".08%",".00%","100.00%"
