"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2287","0","1077","0","15","0","4","0","6","0","0","0","3389"
"CMCF","1356","350","803","501","26","11","7","3","5","1","1","1","3065"
"SMCI","1949","0","1009","0","25","0","1","0","6","0","0","0","2990"
"County Jails (approved)","511","9","365","35","5","0","2","0","2","0","1","0","930"
"County Jails (unapproved)","210","14","124","24","1","0","1","0","0","0","2","0","376"
"Youthful Offender Facility","32","0","0","0","1","0","0","0","0","0","0","0","33"
"Private Prisons","2788","0","1030","0","37","0","10","0","5","0","0","0","3870"
"Regional Correctional Facilities","2190","102","1045","117","28","4","3","0","12","0","0","0","3501"
"Community Work Centers","484","43","265","126","1","2","2","0","3","0","1","0","927"
"Community Trusties","32","0","14","0","0","0","0","0","1","0","0","0","47"
"Pending File Review","49","6","37","9","0","0","0","0","1","0","0","0","102"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"County Jail","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Court Order","138","6","101","19","0","0","0","0","0","0","0","0","264"
"","12026","530","5872","832","139","17","30","3","41","1","5","1","19497"
"Intensive Supervison Program","284","92","231","107","2","2","1","1","4","0","0","0","724"
"Earned Release Supervision","471","59","150","37","4","0","0","0","1","0","0","0","722"
"Medical Release","8","0","4","2","0","0","0","0","0","0","0","0","14"
"Other Custody","229","13","209","25","42","3","1","1","3","0","3","0","529"
"Transitional Housing","1","0","0","0","0","0","0","0","0","0","0","0","1"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"TVC","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Off-Grounds Medical (Hospital)","4","0","2","1","0","0","0","0","0","0","0","0","7"
"TOTAL","13038","695","6474","1006","190","22","32","5","49","1","8","1","21521"
"percent_of_total","60.58%","3.23%","30.08%","4.67%",".88%",".10%",".15%",".02%",".23%",".00%",".04%",".00%","100.00%"
