"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2992","2","1126","0","32","0","1","0","6","0","0","0","4159"
"CMCF","1426","778","779","715","20","5","2","0","4","2","1","0","3732"
"SMCI","2079","0","951","0","48","0","1","0","8","0","0","0","3087"
"County Jails (approved)","781","75","465","81","15","2","2","1","2","0","4","0","1428"
"County Jails (unapproved)","137","10","68","9","1","0","1","0","0","0","1","0","227"
"Private Prisons","3653","0","1111","0","28","0","5","0","8","0","4","0","4809"
"Regional Correctional Facilities","2193","0","853","0","24","0","3","0","5","0","0","0","3078"
"Community Work Centers","1022","110","499","134","9","0","2","1","2","0","0","0","1779"
"Community Trusties","13","0","4","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","27","4","11","","1","0","0","0","0","0","1","0","44"
"Court Order","188","17","136","36","1","0","0","0","1","0","0","0","379"
"","14511","996","6003","975","179","7","17","2","36","2","11","0","22739"
"Intensive Supervison Program","441","138","387","173","9","2","1","1","1","3","7","3","1166"
"Earned Release Supervision","1095","123","454","97","2","1","1","0","1","0","0","0","1774"
"Medical Release","7","1","7","0","0","0","0","0","0","0","0","0","15"
"Other Custody","125","10","108","13","34","3","0","0","3","0","3","1","300"
"At Large","41","2","14","2","4","0","0","0","0","0","0","0","63"
"Off-Grounds Medical (Hospital)","4","0","2","0","0","0","0","0","0","0","0","0","6"
"TOTAL","16224","1270","6975","1260","228","13","19","3","41","5","21","4","26063"
"% OF TOTAL_offenses","62.25%","4.87%","26.76%","4.83%","0.87%","0.05%","0.07%","0.01%","0.16%","0.02%","0.08%","0.02%","100.00%"
