"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2917","0","1144","1","34","0","2","0","3","0","1","0","4102"
"CMCF","1298","743","713","672","21","11","1","1","2","2","0","0","3464"
"SMCI","2031","0","993","0","50","0","3","0","8","0","0","0","3085"
"County Jails (approved)","558","94","326","97","12","1","2","0","1","0","1","0","1092"
"County Jails (unapproved)","184","11","88","20","6","0","0","0","0","1","4","2","316"
"Private Prisons","4092","0","1331","0","33","0","7","0","7","0","1","0","5471"
"Regional Correctional Facilities","2134","0","769","0","17","0","3","0","8","0","1","0","2932"
"Community Work Centers","1008","107","448","145","15","0","2","0","1","0","0","0","1726"
"Community Trusties","13","0","4","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","67","11","37","10","0","0","0","1","0","0","0","0","126"
"Court Order","184","6","88","16","1","0","0","0","1","0","0","0","296"
"","14486","972","5941","961","189","12","20","2","31","3","8","2","22627"
"Intensive Supervison Program","460","143","396","158","4","0","2","1","4","1","1","2","1172"
"Earned Release Supervision","1108","99","472","61","4","0","2","0","2","0","0","0","1748"
"Medical Release","19","4","12","1","0","0","0","0","0","0","0","0","36"
"Other Custody","128","11","117","13","41","3","0","1","1","0","4","1","320"
"At Large","29","1","14","2","3","0","0","0","0","0","0","0","49"
"Off-Grounds Medical (Hospital)","5","1","4","0","0","0","0","0","0","0","0","0","10"
"TOTAL","16235","1231","6956","1196","241","15","24","4","38","4","13","5","25962"
"% OF TOTAL_offenses","62.53%","4.74%","26.79%","4.61%","0.93%","0.06%","0.09%","0.02%","0.15%","0.02%","0.05%","0.02%","100.00%"
