"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3208","0","1228","0","35","0","4","0","7","0","0","0","4482"
"CMCF","1189","738","681","645","9","5","0","0","1","4","1","0","3273"
"SMCI","1371","0","657","0","23","0","4","0","5","0","0","0","2060"
"County Jails (approved)","724","58","475","80","6","3","1","0","3","0","6","0","1356"
"County Jails (unapproved)","55","3","58","8","1","0","0","0","1","0","7","0","133"
"Private Prisons","3656","0","1182","0","21","0","4","0","8","0","3","0","4874"
"Regional Correctional Facilities","2223","0","820","0","18","0","3","0","5","0","1","0","3070"
"Community Work Centers","1038","109","478","105","13","3","1","1","2","0","0","0","1750"
"Community Trusties","10","0","6","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","28","1","9","9","0","0","0","0","0","0","1","0","48"
"Court Order","148","12","130","36","0","0","1","0","0","0","0","0","327"
"CUSTODY POPULATION","13650","921","5724","883","126","11","18","1","32","4","19","0","21389"
"Intensive Supervison Program","620","168","531","213","6","1","0","0","1","0","11","2","1553"
"Earned Release Supervision","1053","105","432","80","8","1","3","0","0","0","0","0","1682"
"Medical Release","5","0","4","0","0","0","0","0","0","0","0","0","9"
"Other Custody","138","7","116","14","28","0","0","0","1","0","2","1","307"
"At Large","81","6","30","4","5","0","0","0","1","0","0","0","127"
"Off-Grounds Medical (Hospital)","3","0","0","2","0","0","0","0","0","0","0","0","5"
"TOTAL","15550","1207","6837","1196","173","13","21","1","35","4","32","3","25072"
"% OF TOTAL_offenses","62.02%","4.81%","27.27%","4.77%","0.69%","0.05%","0.08%","0.00%","0.14%","0.02%","0.13%","0.01%","100.00%"
