"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4215","0","1445","0","37","0","6","0","4","0","0","0","5707"
"CMCF","1057","842","575","542","9","6","4","0","1","4","0","0","3040"
"SMCI","1391","0","735","0","16","0","5","0","6","0","0","0","2153"
"County Jails (approved)","1020","50","651","63","8","1","3","0","4","0","0","0","1800"
"County Jails (unapproved)","103","9","93","21","0","0","0","0","2","0","0","0","228"
"Private Prisons","2586","0","895","0","7","0","3","0","4","0","0","0","3495"
"Regional Correctional Facilities","2005","0","578","0","12","0","0","0","3","0","0","0","2598"
"Community Work Centers","881","113","371","102","8","0","1","0","2","1","0","0","1479"
"Community Trusties","16","0","9","0","1","0","0","0","0","0","0","0","26"
"","13274","1014","5352","728","98","7","22","0","26","5","0","0","20526"
"Intensive Supervison Program","573","126","482","179","6","1","2","2","2","0","0","0","1373"
"Earned Release Supervision","830","80","275","55","4","0","0","1","1","1","0","0","1247"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","96","2","90","9","3","0","0","0","0","0","0","0","200"
"At Large","93","6","47","9","2","0","0","0","0","1","0","0","158"
"University of MS Medical Center","2","0","0","0","0","0","0","0","0","0","0","0","2"
"TOTAL","14868","1228","6246","980","113","8","24","3","29","7","0","0","23506"
"% of Total Offenses","63.25%","5.22%","26.57%","4.17%","0.48%","0.03%","0.10%","0.01%","0.12%","0.03%","0.00%","0.00%","100.00%"
