"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2085","0","958","0","16","0","1","0","3","0","0","0","3063"
"CMCF","1291","396","790","508","20","4","2","3","3","1","0","0","3018"
"SMCI","2127","0","1021","0","34","0","4","0","4","0","0","0","3190"
"County Jails (approved)","735","43","406","78","4","1","1","0","0","0","4","0","1272"
"County Jails (unapproved)","244","11","125","19","1","0","4","0","1","1","2","0","408"
"Private Prisons","3825","0","1247","0","33","0","4","0","8","0","0","0","5117"
"Regional Correctional Facilities","2134","132","1041","163","33","0","1","0","6","1","2","0","3513"
"Community Work Centers","876","63","390","126","6","2","4","0","3","1","0","0","1471"
"Community Trusties","8","0","7","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","40","5","23","16","1","0","1","0","0","0","0","0","86"
"Court Order","228","7","119","27","0","0","0","0","1","0","0","0","382"
"CUSTODY POPULATION","13593","657","6127","937","148","7","22","3","29","4","8","0","21535"
"Intensive Supervison Program","612","161","576","261","8","2","3","1","2","0","1","1","1628"
"Earned Release Supervision","1007","92","394","80","5","1","3","0","0","0","0","0","1582"
"Medical Release","13","5","5","2","0","0","0","0","0","0","0","0","25"
"Other Custody","185","7","136","21","44","4","1","1","3","0","5","0","407"
"At Large","21","0","12","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","6","1","3","0","0","0","0","0","0","0","0","0","10"
"TOTAL","15437","923","7253","1303","208","14","29","5","34","4","14","1","25225"
"percent_of_total","61.20%","3.66%","28.75%","5.17%",".82%",".06%",".11%",".02%",".13%",".02%",".06%",".00%","100.00%"
