"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3160","0","1199","0","36","0","1","0","4","0","0","0","4400"
"CMCF","1105","741","646","628","14","6","3","1","1","4","0","0","3149"
"SMCI","1282","0","669","0","24","0","4","0","6","0","0","0","1985"
"County Jails (approved)","693","63","508","88","14","2","2","1","2","0","6","1","1380"
"County Jails (unapproved)","31","0","16","0","0","0","0","0","0","0","1","0","48"
"Private Prisons","3603","0","1125","0","19","0","10","0","8","0","2","0","4767"
"Regional Correctional Facilities","2248","0","759","0","16","0","2","0","7","0","2","0","3034"
"Community Work Centers","998","109","472","112","7","3","0","0","1","0","1","0","1703"
"Community Trusties","10","0","7","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","15","2","6","1","0","0","0","0","0","0","0","0","24"
"Court Order","194","12","136","40","0","0","0","0","1","0","1","0","384"
"","13339","927","5543","869","130","11","22","2","30","4","13","1","20891"
"Intensive Supervison Program","641","148","578","192","5","1","2","0","2","0","9","1","1579"
"Earned Release Supervision","1100","101","468","96","5","1","2","0","1","0","0","0","1774"
"Medical Release","5","0","5","0","0","0","0","0","0","0","0","0","10"
"Other Custody","135","8","118","15","23","0","0","0","1","0","2","0","302"
"At Large","83","6","43","4","3","0","0","0","0","0","0","0","139"
"Off-Grounds Medical (Hospital)","4","3","5","1","0","0","0","0","0","0","0","0","13"
"TOTAL","15307","1193","6760","1177","166","13","26","2","34","4","24","2","24708"
"% OF TOTAL_offenses","61.95%","4.83%","27.36%","4.76%","0.67%","0.05%","0.11%","0.01%","0.14%","0.02%","0.10%","0.01%","100.00%"
