"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3849","1","1387","0","17","0","2","0","3","0","1","0","5260"
"CMCF","1076","769","597","428","8","7","3","1","3","3","0","0","2895"
"SMCI","1448","0","610","0","13","0","0","0","2","0","0","0","2073"
"County Jails (approved)","968","58","492","43","6","1","2","1","1","0","0","0","1572"
"County Jails (unapproved)","56","7","46","7","0","0","0","0","0","0","0","0","116"
"Private Prisons","2891","0","729","0","8","0","2","0","2","0","0","0","3632"
"Regional Correctional Facilities","1591","0","422","0","4","0","3","0","2","0","0","0","2022"
"Community Work Centers","892","75","275","50","5","0","2","1","0","1","0","0","1301"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"","12786","910","4565","528","61","8","14","3","13","4","1","0","18893"
"Intensive Supervison Program","621","117","449","121","3","1","3","2","2","0","0","0","1319"
"Earned Release Supervision","683","76","242","35","5","0","0","1","0","0","0","0","1042"
"Medical Release","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","88","6","93","10","4","0","0","0","0","1","0","0","202"
"At Large","48","4","22","4","1","0","0","0","1","0","0","0","80"
"University of MS Medical Center","3","1","1","0","1","0","0","0","0","0","0","0","6"
"TOTAL","14230","1114","5372","698","75","9","17","6","16","5","1","0","21543"
"% of Total Offenses","66.05%","5.17%","24.94%","3.24%","0.35%","0.04%","0.08%","0.03%","0.07%","0.02%","0.00%","0.00%","100.00%"
