"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3886","1","1388","1","18","0","3","0","4","0","1","0","5302"
"CMCF","1114","760","613","432","3","5","1","2","3","2","0","0","2935"
"SMCI","1412","0","615","1","15","0","0","0","2","0","0","0","2045"
"County Jails (approved)","899","56","469","35","5","1","3","0","1","0","0","0","1469"
"County Jails (unapproved)","64","8","41","6","0","0","0","0","0","0","0","0","119"
"Private Prisons","2824","0","753","0","7","0","2","0","2","0","0","0","3588"
"Regional Correctional Facilities","1582","0","408","0","4","","4","0","2","0","0","0","2000"
"Community Work Centers","869","75","285","45","6","0","2","1","0","2","0","0","1285"
"Community Trusties","15","0","8","0","0","0","0","0","0","0","0","0","23"
"CUSTODY POPULATION","12665","900","4580","520","58","6","15","3","14","4","1","0","18766"
"Intensive Supervison Program","638","118","461","128","1","1","3","2","1","0","0","0","1353"
"Earned Release Supervision","652","70","240","25","4","0","0","0","0","0","0","0","991"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","92","4","91","10","4","0","0","0","0","1","0","0","202"
"At Large","47","5","20","4","1","0","0","0","1","0","0","0","78"
"University of MS Medical Center","2","2","2","0","0","0","0","0","0","0","0","0","6"
"TOTAL","14096","1099","5394","687","68","7","18","5","16","5","1","0","21396"
"% of Total Offenses","65.88%","5.14%","25.21%","3.21%","0.32%","0.03%","0.08%","0.02%","0.07%","0.02%","0.00%","0.00%","100.00%"
