"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4167","2","1438","0","35","0","6","0","5","0","0","0","5653"
"CMCF","1061","833","632","528","14","5","6","1","0","5","0","0","3085"
"SMCI","1410","0","715","0","18","0","3","0","7","0","0","0","2153"
"County Jails (approved)","1095","66","639","54","10","2","2","0","1","1","0","0","1870"
"County Jails (unapproved)","100","12","92","22","1","0","0","0","1","0","0","0","228"
"Private Prisons","2531","0","833","0","8","0","4","0","2","0","0","0","3378"
"Regional Correctional Facilities","1956","0","531","0","6","0","0","0","3","0","0","0","2496"
"Community Work Centers","817","82","343","71","4","0","2","0","1","0","1","0","1321"
"Community Trusties","12","0","7","0","0","0","0","0","0","0","0","0","19"
"CUSTODY POPULATION","13149","995","5230","675","96","7","23","1","20","6","1","0","20203"
"Intensive Supervison Program","666","136","519","184","4","2","3","2","2","0","0","0","1518"
"Earned Release Supervision","739","72","265","38","1","0","1","1","0","0","0","0","1117"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","110","6","107","13","4","0","0","0","0","1","0","0","241"
"At Large","63","6","27","4","1","0","0","0","0","0","0","0","101"
"University of MS Medical Center","5","0","1","2","0","0","0","0","0","0","0","0","8"
"TOTAL","14732","1215","6149","916","106","9","27","4","22","7","1","0","23188"
"% of Total Offenses","63.53%","5.24%","26.52%","3.95%","0.46%","0.04%","0.12%","0.02%","0.09%","0.03%","0.00%","0.00%","100.00%"
