"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3923","1","1431","0","18","0","2","0","1","0","0","0","5376"
"CMCF","1132","791","652","477","3","3","6","3","3","3","0","0","3073"
"SMCI","1392","0","618","0","16","0","0","0","3","0","0","0","2029"
"County Jails (approved)","1004","65","504","37","6","2","4","1","2","1","0","0","1626"
"County Jails (unapproved)","76","10","51","11","0","0","0","0","0","0","0","0","148"
"Private Prisons","2837","0","779","0","8","0","2","0","3","0","0","0","3629"
"Regional Correctional Facilities","1640","0","414","0","3","0","4","0","1","0","0","0","2062"
"Community Work Centers","867","72","308","56","4","0","1","0","1","1","1","0","1311"
"Community Trusties","16","0","8","0","0","0","0","0","0","0","0","0","24"
"CUSTODY POPULATION","12887","939","4765","581","58","5","19","4","14","5","1","0","19278"
"Intensive Supervison Program","663","121","485","150","4","1","4","2","3","0","0","0","1433"
"Earned Release Supervision","702","69","242","31","2","0","2","1","1","0","0","0","1050"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","104","7","101","13","4","0","0","0","0","1","0","0","230"
"At Large","55","6","22","4","1","0","0","0","1","0","0","0","89"
"University of MS Medical Center","4","0","5","0","0","0","0","0","0","0","0","0","9"
"TOTAL","14415","1142","5620","779","69","6","25","7","19","6","1","0","22089"
"% of Total Offenses","65.26%","5.17%","25.44%","3.53%","0.31%","0.03%","0.11%","0.03%","0.09%","0.03%","0.00%","0.00%","100.00%"
