"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3286","2","1170","0","32","0","5","0","5","0","0","0","4500"
"CMCF","1229","781","682","661","10","5","2","5","3","4","1","0","3383"
"SMCI","1620","0","818","0","28","0","3","0","6","0","0","0","2475"
"County Jails (approved)","704","65","507","81","15","5","1","0","1","0","10","1","1390"
"County Jails (unapproved)","88","5","19","8","1","0","2","0","0","0","0","0","123"
"Private Prisons","3653","0","1174","0","22","0","5","0","8","0","3","0","4865"
"Regional Correctional Facilities","2194","0","843","0","15","0","1","0","5","0","1","0","3059"
"Community Work Centers","1030","113","501","108","8","0","4","0","3","0","0","0","1767"
"Community Trusties","12","0","4","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","35","7","16","8","0","0","0","0","0","0","0","0","66"
"Court Order","161","10","106","37","1","0","1","0","0","0","1","0","317"
"CUSTODY POPULATION","14012","983","5840","903","132","10","24","5","31","4","16","1","21961"
"Intensive Supervison Program","532","149","509","219","10","1","1","1","2","0","3","3","1430"
"Earned Release Supervision","1073","103","425","75","6","2","4","0","1","0","0","0","1689"
"Medical Release","4","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","117","8","117","13","35","2","0","0","3","0","3","1","299"
"At Large","60","4","20","3","5","0","0","0","1","0","0","0","93"
"Off-Grounds Medical (Hospital)","6","3","2","1","0","0","0","0","0","0","0","0","12"
"TOTAL","15804","1250","6917","1214","188","15","29","6","38","4","22","5","25492"
"% OF TOTAL_offenses","62.00%","4.90%","27.13%","4.76%","0.74%","0.06%","0.11%","0.02%","0.15%","0.02%","0.09%","0.02%","100.00%"
