"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,277","","1,059","0","13","0","5","0","3","0","0","0","3,357"
"CMCF","1,397","444","818","520","19","5","10","3","4","0","0","0","3,220"
"SMCI","2,068","0","1,060","0","44","0","6","0","9","0","0","0","3,187"
"County Jails (approved)","935","37","487","52","6","0","3","1","0","0","0","0","1,521"
"County Jails (unapproved)","84","4","39","4","3","0","0","0","0","0","1","0","135"
"Youthful Offender Facility","27","0","10","0","0","0","0","0","0","0","0","0","37"
"Private Prisons","3,310","0","1,036","0","31","0","5","0","5","0","0","0","4,387"
"Regional Correctional Facilities","2,770","140","1,295","151","43","3","3","1","7","1","0","0","4,414"
"Community Work Centers","703","67","422","146","0","1","1","0","4","0","0","0","1,344"
"Community Trusties","9","0","4","0","0","0","0","0","0","0","0","0","13"
"Pending File Review","33","7","31","9","1","0","0","0","0","1","0","0","82"
"Court Order","164","17","109","17","3","0","0","0","0","1","0","0","311"
"","13,777","716","6,370","899","163","9","33","5","32","3","1","0","22,008"
"Intensive Supervison Program","673","159","472","230","5","2","1","0","3","0","2","2","1,549"
"Earned Release Supervision","1,048","79","407","108","2","1","3","0","3","0","0","0","1,651"
"Medical Release","15","1","4","2","0","0","0","0","0","0","0","0","22"
"Other Custody","228","9","159","29","48","5","1","1","3","0","3","0","486"
"At Large","18","0","8","2","3","0","0","0","0","0","0","0","31"
"Off-Grounds Medical (Hospital)","7","1","4","1","0","0","0","0","0","0","0","0","13"
"TOTAL","15,766","965","7,424","1,271","221","17","38","6","41","3","6","2","25,760"
"percent_of_total","61.20%","3.75%","28.82%","4.93%",".86%",".07%",".15%",".02%",".16%",".01%",".02%",".01%","100.00%"
