"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3509","1","1354","0","44","0","5","0","3","0","1","0","4917"
"CMCF","1038","833","630","615","8","8","3","0","0","6","0","0","3141"
"SMCI","1435","0","711","0","22","0","1","0","8","0","0","0","2177"
"County Jails (approved)","1037","69","630","91","9","1","5","2","4","0","9","2","1859"
"County Jails (unapproved)","140","12","104","20","1","0","0","0","1","0","1","0","279"
"Private Prisons","3279","0","1109","0","10","0","3","0","9","0","0","0","4410"
"Regional Correctional Facilities","2056","0","655","1","15","0","0","0","2","0","0","0","2729"
"Community Work Centers","1065","126","448","91","7","0","0","0","3","0","1","0","1741"
"Community Trusties","14","0","10","0","0","0","0","0","0","0","0","0","24"
"","13573","1041","5651","818","116","9","17","2","30","6","12","2","21277"
"Intensive Supervison Program","579","98","452","157","5","0","4","2","3","0","4","2","1306"
"Earned Release Supervision","856","92","281","39","4","0","1","0","1","0","0","0","1274"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody/At Large","131","4","116","14","4","0","0","0","0","0","0","0","269"
"University of MS Medical Center","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","15139","1235","6500","1028","129","9","22","4","34","6","16","4","24126"
"% of Total Offenses","62.75%","5.12%","26.94%","4.26%","0.53%","0.04%","0.09%","0.02%","0.14%","0.02%","0.07%","0.02%","100.00%"
