"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4183","0","1427","0","36","0","7","0","8","0","0","0","5661"
"CMCF","1090","826","603","583","13","4","4","1","1","4","1","0","3130"
"SMCI","1377","0","690","0","23","0","1","0","5","0","0","0","2096"
"County Jails (approved)","1085","50","701","64","12","2","3","1","6","0","6","2","1932"
"County Jails (unapproved)","113","13","102","21","2","0","0","0","2","0","2","0","255"
"Private Prisons","2486","0","944","0","9","0","1","0","3","0","0","0","3443"
"Regional Correctional Facilities","2103","0","620","0","12","0","1","0","2","0","0","0","2738"
"Community Work Centers","987","119","395","98","5","0","0","0","1","0","1","0","1606"
"Community Trusties","15","0","8","0","0","0","0","0","0","0","0","0","23"
"","13439","1008","5490","766","112","6","17","2","28","4","10","2","20884"
"Intensive Supervison Program","554","93","444","167","6","2","3","2","3","0","1","2","1277"
"Earned Release Supervision","868","83","266","36","1","1","1","0","0","0","0","0","1256"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody/At Large","133","4","110","12","3","0","0","0","0","0","0","0","262"
"University of MS Medical Center","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","14994","1188","6310","981","122","9","21","4","31","4","11","4","23679"
"% of Total Offenses","63.32%","5.02%","26.65%","4.14%","0.52%","0.04%","0.09%","0.02%","0.13%","0.02%","0.05%","0.02%","100.00%"
