"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2184","0","1134","0","26","0","2","0","7","0","1","0","3354"
"CMCF","1498","356","898","542","19","6","7","2","7","1","1","1","3338"
"SMCI","2043","0","991","0","27","0","2","0","4","0","0","0","3067"
"County Jails (approved)","408","5","342","26","5","0","0","0","2","0","1","0","789"
"County Jails (unapproved)","170","7","127","12","3","0","0","0","0","0","3","0","322"
"Youthful Offender Facility","21","0","3","0","1","0","0","0","0","0","0","0","25"
"Private Prisons","2202","0","809","0","21","0","7","0","1","0","0","0","3040"
"Regional Correctional Facilities","2354","94","1179","106","49","2","6","0","11","0","0","0","3801"
"Community Work Centers","376","38","249","120","4","4","2","0","3","1","0","0","797"
"Community Trusties","23","0","9","0","0","0","0","0","1","0","0","0","33"
"TVC","0","3","0","12","0","0","0","0","0","0","0","0","15"
"Transitional Housing","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Pending File Review","45","3","30","3","1","0","0","0","1","0","0","0","83"
"Court Order","154","8","88","11","0","0","0","0","0","0","0","0","261"
"CUSTODY POPULATION","11479","514","5859","832","156","12","26","2","37","2","6","1","18926"
"Intensive Supervison Program","279","79","233","118","3","1","2","1","2","1","1","1","721"
"Earned Release Supervision","357","40","120","35","3","0","0","0","0","0","0","0","555"
"Medical Release","6","0","3","2","0","0","0","0","0","0","0","0","11"
"Other Custody","220","13","214","22","31","2","0","0","4","0","1","0","507"
"At Large","16","0","6","2","3","0","0","0","0","0","0","0","27"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"Failure to Report-Monitoring","1","0","3","0","0","0","0","0","0","0","0","0","4"
"RRP","29","2","26","4","0","0","0","0","0","0","0","0","61"
"Off-Grounds Medical (Hospital)","4","0","5","1","0","0","0","0","0","0","0","0","10"
"TOTAL","12391","648","6470","1017","196","15","28","3","43","3","8","2","20824"
"percent_of_total","59.50%","3.11%","31.07%","4.88%",".94%",".07%",".13%",".01%",".21%",".01%",".04%",".01%","100.00%"
