"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,801","1","1,073","1","27","0","2","0","3","0","0","0","3,908"
"CMCF","1,136","631","701","621","16","10","0","3","1","2","0","0","3,121"
"SMCI","1,903","0","950","0","54","0","5","0","6","0","0","0","2,918"
"County Jails (approved)","505","78","298","81","6","0","0","0","0","0","2","1","971"
"County Jails (unapproved)","142","7","81","4","2","0","0","0","0","0","3","0","239"
"Private Prisons","4,094","0","1,390","0","35","0","7","0","7","0","1","0","5,534"
"Regional Correctional Facilities","2,063","0","821","0","22","0","5","0","8","0","2","0","2,921"
"Community Work Centers","934","103","391","142","9","2","4","1","0","0","0","0","1,586"
"Community Trusties","15","0","2","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","46","7","26","7","1","0","0","0","0","0","0","0","87"
"Court Order","150","12","85","9","2","0","0","0","0","0","0","0","258"
"","13,789","839","5,818","865","174","12","23","4","25","2","8","1","21,560"
"Intensive Supervison Program","527","141","418","196","6","0","1","1","3","1","2","0","1,296"
"Earned Release Supervision","963","83","371","57","6","0","1","0","2","0","0","0","1,483"
"Medical Release","20","6","7","2","0","0","0","0","0","0","0","0","35"
"Other Custody","149","11","125","15","43","3","0","1","1","0","4","1","353"
"At Large","27","0","16","2","3","0","0","0","0","0","0","0","48"
"Off-Grounds Medical (Hospital)","3","1","4","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15,478","1,081","6,759","1,138","232","15","25","6","31","3","14","2","24,784"
"% OF TOTAL_offenses","62.45%","4.36%","27.27%","4.59%","0.94%","0.06%","0.10%","0.02%","0.13%","0.01%","0.06%","0.01%","100.00%"
