"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3732","1","1338","1","17","0","2","0","2","0","0","0","5093"
"CMCF","1038","807","580","479","9","5","5","2","1","2","0","0","2928"
"SMCI","1365","0","614","0","16","0","2","0","3","0","0","0","2000"
"County Jails (approved)","1074","78","542","36","10","2","3","1","2","0","0","0","1748"
"County Jails (unapproved)","80","10","87","11","1","0","0","0","0","1","0","0","190"
"Private Prisons","3094","0","914","0","8","0","3","0","3","0","0","0","4022"
"Regional Correctional Facilities","1600","0","430","0","4","0","2","0","2","0","0","0","2038"
"Community Work Centers","847","76","316","65","4","0","1","0","1","0","1","0","1311"
"Community Trusties","13","0","6","0","0","0","0","0","0","0","0","0","19"
"","12843","972","4827","592","69","7","18","3","14","3","1","0","19349"
"Intensive Supervison Program","687","116","492","147","4","1","2","0","2","0","0","0","1451"
"Earned Release Supervision","724","73","243","34","2","0","2","1","1","0","0","0","1080"
"Medical Release","","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","98","8","105","14","4","0","0","0","0","1","0","0","230"
"At Large","52","4","22","3","1","0","0","0","1","0","0","0","83"
"University of MS Medical Center","9","0","3","0","0","0","0","0","0","0","0","0","12"
"TOTAL","14413","1173","5692","790","80","8","22","4","18","4","1","0","22205"
"% by Demographics","64.91%","5.28%","25.63%","3.56%","0.36%","0.04%","0.10%","0.02%","0.08%","0.02%","0.00%","0.00%","100.00%"
