"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4184","0","1463","0","36","0","6","0","5","0","0","0","5694"
"CMCF","1079","840","625","557","13","5","4","0","0","4","0","0","3127"
"SMCI","1389","0","718","1","16","0","5","0","6","0","0","0","2135"
"County Jails (approved)","998","41","639","51","6","2","2","1","5","0","0","0","1745"
"County Jails (unapproved)","74","7","74","27","1","0","0","0","1","0","0","0","184"
"Private Prisons","2566","0","892","0","7","0","2","0","4","0","0","0","3471"
"Regional Correctional Facilities","2010","0","569","0","11","0","0","0","3","0","0","0","2593"
"Community Work Centers","920","116","371","107","8","0","0","0","2","1","0","0","1525"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"","13235","1004","5358","743","98","7","19","1","26","5","0","0","20496"
"Intensive Supervison Program","591","120","489","175","7","2","2","2","2","0","0","0","1390"
"Earned Release Supervision","850","80","274","48","3","0","0","1","0","1","0","0","1257"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","108","5","100","8","3","0","0","0","0","0","0","0","224"
"At Large","92","8","40","9","2","0","0","0","0","1","0","0","152"
"University of MS Medical Center","2","0","0","0","0","0","0","0","0","0","0","0","2"
"TOTAL","14878","1217","6261","983","113","9","21","4","28","7","0","0","23521"
"% of Total Offenses","63.25%","5.17%","26.62%","4.18%","0.48%","0.04%","0.09%","0.02%","0.12%","0.03%","0.00%","0.00%","100.00%"
