"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","total"
"MSP","3959","1","1319","2","23","0","2","0","3","0","5309"
"CMCF","1154","780","594","436","6","4","2","2","3","2","2983"
"SMCI","1428","0","565","0","14","0","1","0","3","0","2011"
"County Jails (approved)","812","47","423","30","2","0","5","0","0","0","1319"
"County Jails (unapproved)","74","4","47","5","0","0","0","0","0","0","130"
"Private Prisons","2599","0","607","0","6","0","1","0","3","0","3216"
"Regional Correctional Facilities","1556","0","423","0","4","0","4","0","0","0","1987"
"Community Work Centers","871","70","288","40","4","0","1","1","1","0","1276"
"Community Trusties","18","0","6","0","0","0","0","0","0","0","24"
"","12471","902","4272","513","59","4","16","3","13","2","18255"
"Intensive Supervison Program","588","115","395","97","3","1","0","0","4","0","1203"
"Earned Release Supervision","636","65","195","31","5","2","0","1","0","1","936"
"Medical Release","1","0","1","0","0","0","0","0","0","0","2"
"Other Custody","96","8","84","11","2","0","0","0","0","0","201"
"At Large","42","5","19","2","1","0","0","0","1","0","70"
"University of MS Medical Center","4","0","1","0","0","0","0","0","0","0","5"
"TOTAL","13838","1095","4967","654","70","7","16","4","18","3","20672"
"% of Total Offenses","66.94%","5.30%","24.03%","3.16%","0.34%","0.03%","0.08%","0.02%","0.09%","0.01%","100.00%"
