"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2214","0","1090","0","19","0","2","0","5","0","1","0","3331"
"CMCF","1381","334","877","521","24","9","4","1","5","2","0","1","3159"
"SMCI","2006","0","983","0","26","0","1","0","6","0","0","0","3022"
"County Jails (approved)","391","6","291","27","7","0","1","0","2","0","1","0","726"
"County Jails (unapproved)","173","9","98","13","0","1","0","0","0","1","1","1","297"
"Youthful Offender Facility","27","0","2","0","1","0","0","0","0","0","0","0","30"
"Private Prisons","2220","0","810","0","19","0","8","0","1","0","0","0","3058"
"Regional Correctional Facilities","2539","114","1263","108","49","3","7","1","14","0","0","0","4098"
"Community Work Centers","378","31","219","116","3","3","2","0","4","0","0","0","756"
"Community Trusties","23","0","9","0","0","0","0","0","1","0","0","0","33"
"TVC","0","1","0","2","0","0","0","0","0","0","0","0","3"
"Pending File Review","42","1","20","3","0","0","0","0","1","0","0","0","67"
"Court Order","112","6","63","11","0","0","0","0","0","0","0","0","192"
"","11506","502","5725","801","148","16","25","2","39","3","3","2","18772"
"Intensive Supervison Program","292","94","238","110","3","1","1","0","3","1","1","1","745"
"Earned Release Supervision","365","44","117","38","4","0","0","0","1","0","0","0","569"
"Medical Release","7","0","4","2","0","0","0","0","0","0","0","0","13"
"Other Custody","222","12","197","21","33","2","0","1","4","0","1","0","493"
"Transitional Housing","1","0","0","0","0","0","0","0","0","0","0","0","1"
"At Large","17","0","6","2","3","0","0","0","0","0","0","0","28"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"RRP","16","2","8","1","0","0","0","0","0","0","0","0","27"
"Off-Grounds Medical (Hospital)","2","0","4","0","1","0","1","0","0","0","0","0","8"
"TOTAL","12428","654","6300","976","192","19","27","3","47","4","5","3","20658"
"percent_of_total","60.16%","3.17%","30.50%","4.72%",".93%",".09%",".13%",".01%",".23%",".02%",".02%",".01%","100.00%"
