"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3,888","2","1,414","0","16","0","3","0","2","0","0","0","5,325"
"CMCF","1,109","774","603","447","6","3","3","3","3","2","0","0","2,953"
"SMCI","1,390","0","639","0","16","0","0","0","3","0","0","0","2,048"
"County Jails (approved)","961","82","510","39","6","2","6","2","1","0","0","0","1,609"
"County Jails (unapproved)","73","4","56","9","0","0","0","0","0","0","0","0","142"
"Private Prisons","2,844","0","773","0","7","0","2","0","3","0","0","0","3,629"
"Regional Correctional Facilities","1,625","0","405","0","3","0","4","0","1","0","0","0","2,038"
"Community Work Centers","878","72","294","53","4","0","2","0","0","2","1","0","1,306"
"Community Trusties","16","0","7","0","0","0","0","0","0","0","0","0","23"
"","12,784","934","4,701","548","58","5","20","5","13","4","1","0","19,073"
"Intensive Supervison Program","672","131","509","152","4","1","4","2","2","0","0","0","1,477"
"Earned Release Supervision","661","58","238","30","2","0","0","1","1","0","0","0","991"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","98","6","91","13","4","0","0","0","0","1","0","0","213"
"At Large","61","6","22","4","1","0","0","0","1","0","0","0","95"
"University of MS Medical Center","5","0","1","0","0","0","0","0","0","0","0","0","6"
"TOTAL","14,281","1,135","5,562","747","69","6","24","8","17","5","1","0","21,855"
"% of Total Offenses","65.34%","5.19%","25.45%","3.42%","0.32%","0.03%","0.11%","0.04%","0.08%","0.02%","0.00%","0.00%","100.00%"
