"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3242","0","1272","0","39","0","3","0","4","0","1","0","4561"
"CMCF","1047","751","577","613","13","7","3","2","3","5","0","1","3022"
"SMCI","1450","0","693","0","19","0","1","0","8","0","0","0","2171"
"County Jails (approved)","798","49","554","100","10","0","3","0","5","0","7","0","1526"
"County Jails (unapproved)","83","6","72","22","0","0","0","0","0","1","1","0","185"
"Private Prisons","3564","0","1167","0","17","0","5","0","8","0","0","0","4761"
"Regional Correctional Facilities","2011","0","701","0","17","0","1","0","3","0","0","0","2733"
"Community Work Centers","1035","119","484","91","6","0","1","0","3","0","0","0","1739"
"Community Trusties","8","0","9","0","0","0","1","0","0","0","0","0","18"
"Pending File Review","159","17","103","24","0","0","0","0","0","0","0","0","303"
"CUSTODY POPULATION","13397","942","5632","850","121","7","18","2","34","6","9","1","21019"
"Intensive Supervison Program","638","125","538","179","4","0","3","2","1","1","7","3","1501"
"Earned Release Supervision","1227","121","453","72","4","1","1","0","1","0","0","0","1880"
"Medical Release","3","0","1","1","0","0","0","0","0","0","0","0","5"
"Other Custody","120","7","110","13","17","0","0","0","0","0","0","0","267"
"At Large","63","4","34","3","3","0","0","0","0","0","0","0","107"
"Off-Grounds Medical (Hospital)","6","0","4","1","0","0","0","0","0","0","0","0","11"
"TOTAL","15454","1199","6772","1119","149","8","22","4","36","7","16","4","24790"
"% OF TOTAL_offenses","62.34%","4.84%","27.32%","4.51%","0.60%","0.03%","0.09%","0.02%","0.15%","0.03%","0.06%","0.02%","100.00%"
